TIC_ID,Prot,eProt,Flare_star,Variability_Classification,
159107668,nan,nan,no,Noisy_LCs,
159418353,nan,nan,no,Ambiguous_Variability,
159510109,10.045,0.587,no,Unambiguous_Rotation,
159873822,3.821,0.109,no,Unambiguous_Rotation,
159951311,nan,nan,no,Noisy_LCs,
160045097,6.071,0.709,no,Unambiguous_Rotation,
160074939,2.323,0.108,no,Unambiguous_Rotation,
160148385,nan,nan,no,Noisy_LCs,
160328683,2.535,0.069,yes,Unambiguous_Rotation,
160618074,5.000,0.155,no,unambiguous rotation,
161032923,nan,nan,no,Noisy_LCs,
161477033,nan,nan,no,Noisy_LCs,
162362398,nan,nan,no,Noisy_LCs,
163539739,nan,nan,no,Noisy_LCs,
164173105,nan,nan,no,Pulsation,
164767175,nan,nan,no,Noisy_LCs,
165317334,nan,nan,no,Noisy_LCs,
165551882,nan,nan,no,Noisy_LCs,
166053959,0.850,0.003,no,Unambiguous Rotation,
166739520,nan,nan,no,Noisy_LCs,
166833457,nan,nan,no,Noisy_LCs,
166836920,nan,nan,no,Noisy_LCs,
167303382,nan,nan,no,Noisy_LCs,
167342439,nan,nan,no,Noisy_LCs,
167415965,nan,nan,no,Ambiguous_Variability,
167418898,nan,nan,no,Noisy_LCs,
167418903,nan,nan,no,Noisy_LCs,
167600516,nan,nan,no,Noisy_LCs,
167719618,5.500,0.03,no,unambiguous rotation,
167754523,nan,nan,no,Noisy_LCs,
169226822,nan,nan,no,Noisy_LCs,
169532369,nan,nan,no,Noisy_LCs,
170102285,nan,nan,no,Noisy_LCs,
170634116,nan,nan,no,Noisy_LCs,
170849515,nan,nan,no,Noisy_LCs,
170889511,5.163,0.708,no,Unambiguous_Rotation,
172193428,nan,nan,no,Noisy_LCs,
172464366,2.924,0.11,no,Unambiguous_Rotation,
173612049,4.876,0.305,no,Unambiguous_Rotation,
174143743,nan,nan,no,Noisy_LCs,
175180796,nan,nan,no,Noisy_LCs,
175193677,4.450,0.221,no,unambiguous rotation,
176772671,1.451,0.058,no,Unambiguous_Rotation,
176778112,nan,nan,no,Noisy_LCs,
176831592,nan,nan,no,Ambiguous_Variability,
176860064,1.863,0.102,no,Unambiguous_Rotation,
176868951,4.420,0.227,no,Unambiguous Rotation,
176957796,6.197,0.074,no,Unambiguous_Rotation,
176984236,nan,nan,no,Ambiguous_Variability,
177077336,nan,nan,no,Ambiguous_Variability,
177115354,nan,nan,no,Noisy_LCs,
177162886,nan,nan,no,Noisy_LCs,
177244357,nan,nan,no,Ambiguous_Variability,
177258735,nan,nan,no,Noisy_LCs,
178155732,nan,nan,no,Noisy_LCs,
178284730,10.229,1.217,no,Unambiguous_Rotation,
178367144,4.594,0.474,no,Unambiguous_Rotation,
178709444,nan,nan,no,Noisy_LCs,
178819686,nan,nan,no,Noisy_LCs,
179034327,7.573,0.637,no,Unambiguous_Rotation,
179308757,5.09/8.87,nan,no,Dubious_Rotation,
179317684,nan,nan,no,Noisy_LCs,
179985715,nan,nan,no,Noisy_LCs,
180695581,4.242,0.391,no,Unambiguous_Rotation,
180991313,2.774,0.19,no,Unambiguous_Rotation,
181159386,nan,nan,no,Noisy_LCs,
181804752,nan,nan,no,Noisy_LCs,
183120439,nan,nan,no,Noisy_LCs,
183532609,7.247,1.094,no,Unambiguous_Rotation,
183537452,nan,nan,no,Noisy_LCs,
183979262,3.341,0.121,no,Unambiguous_Rotation,
183985250,nan,nan,no,Noisy_LCs,
184240683,nan,nan,no,Noisy_LCs,
184679932,2.175,0.131,no,Unambiguous_Rotation,
184952758,nan,nan,no,Noisy_LCs,
186599508,nan,nan,no,Noisy_LCs,
186812530,nan,nan,yes,Noisy_LCs,
188768068,nan,nan,no,Noisy_LCs,
188989177,nan,nan,no,Noisy_LCs,
189013224,6.459,0.869,no,Unambiguous_Rotation,
190990336,3.009,0.216,no,Unambiguous_Rotation,
190998418,nan,nan,no,Ambiguous_Variability,
191284318,nan,nan,no,Noisy_LCs,
192826603,nan,nan,no,Noisy_LCs,
193641523,nan,nan,no,Noisy_LCs,
198187049,10.169,0.234,no,Unambiguous_Rotation,
198206613,nan,nan,no,Noisy_LCs,
198212955,nan,nan,no,Noisy_LCs,
198213332,nan,nan,no,Noisy_LCs,
198241702,nan,nan,no,Noisy_LCs,
198356533,nan,nan,no,Noisy_LCs,
198384408,9.81/15.94,nan,no,Dubious_Rotation,
198390247,nan,nan,no,Noisy_LCs,
198457103,nan,nan,no,Noisy_LCs,
198610218,2.631,0.13,yes,Unambiguous_Rotation,
199376584,nan,nan,no,Noisy_LCs,
199444169,nan,nan,no,Noisy_LCs,
199688472,nan,nan,no,Ambiguous_Variability,
200322593,nan,nan,yes,Ambiguous_Variability,
200593988,nan,nan,no,Noisy_LCs,
200723869,nan,nan,no,Ambiguous_Variability,
200807066,nan,nan,no,Noisy_LCs,
201186294,nan,nan,no,Noisy_LCs,
201248411,13.219,1.859,no,Unambiguous_Rotation,
201604954,nan,nan,no,Pulsation,
201642601,nan,nan,no,Noisy_LCs,
201793781,nan,nan,no,Ambiguous_Variability,
202426247,4.287,0.068,no,Unambiguous_Rotation,
204317710,nan,nan,no,Noisy_LCs,
204376737,nan,nan,no,Noisy_LCs,
206466531,nan,nan,no,Noisy_LCs,
206609630,3.872,0.174,yes,Unambiguous_Rotation,
207081058,nan,nan,no,Noisy_LCs,
207084429,nan,nan,no,Noisy_LCs,
207141131,8.489,0.858,no,Unambiguous_Rotation,
207277638,2.883,0.172,no,Unambiguous_Rotation,
210873792,nan,nan,no,Noisy_LCs,
211438925,nan,nan,no,Noisy_LCs,
214361331,3.342,0.266,no,Unambiguous_Rotation,
216935214,nan,nan,no,Noisy_LCs,
218795833,nan,nan,no,Noisy_LCs,
219164808,nan,nan,no,Noisy_LCs,
219187649,nan,nan,no,Noisy_LCs,
219189765,nan,nan,no,Noisy_LCs,
219195044,nan,nan,no,Noisy_LCs,
219229644,9.706,0.748,no,Unambiguous_Rotation,
219239945,nan,nan,no,Noisy_LCs,
219253008,nan,nan,no,Noisy_LCs,
219338557,nan,nan,no,Noisy_LCs,
219344917,nan,nan,no,Noisy_LCs,
219345200,nan,nan,no,Noisy_LCs,
219379012,nan,nan,no,Noisy_LCs,
219388773,nan,nan,no,Noisy_LCs,
219401954,nan,nan,no,Noisy_LCs,
219508169,8.703,0.781,no,Unambiguous_Rotation,
219698776,nan,nan,no,Ambiguous_Variability,
219698950,nan,nan,no,Noisy_LCs,
219776325,9.351,0.334,no,Unambiguous_Rotation,
219821826,5.862,0.241,no,Unambiguous_Rotation,
219850915,nan,nan,no,Noisy_LCs,
219852882,10.130,0.398,no,Unambiguous_Rotation,
219857012,nan,nan,no,Noisy_LCs,
219860288,nan,nan,no,Noisy_LCs,
220029715,nan,nan,no,Noisy_LCs,
220396259,nan,nan,no,Noisy_LCs,
220435095,3.538,0.25,no,Unambiguous_Rotation,
220459826,5.618,0.103,no,Unambiguous_Rotation,
220459976,nan,nan,no,Noisy_LCs,
220475245,nan,nan,no,Noisy_LCs,
220479565,nan,nan,no,Noisy_LCs,
224225541,3.773,0.285,no,Unambiguous_Rotation,
224297258,nan,nan,no,Noisy_LCs,
224596152,nan,nan,no,Noisy_LCs,
224600500,nan,nan,no,Noisy_LCs,
229047362,nan,nan,no,Noisy_LCs,
229455001,nan,nan,no,Noisy_LCs,
229650439,nan,nan,no,Noisy_LCs,
229747848,8.285,0.306,no,Unambiguous_Rotation,
229770036,nan,nan,no,Noisy_LCs,
229781583,nan,nan,no,Noisy_LCs,
229811538,nan,nan,no,Noisy_LCs,
229938290,8.603,1.48,no,Unambiguous_Rotation,
229940491,nan,nan,no,Noisy_LCs,
229944666,nan,nan,no,Noisy_LCs,
229951289,5.288,0.129,no,Unambiguous_Rotation,
230017324,nan,nan,no,Noisy_LCs,
230075227,10.512,0.205,no,Unambiguous_Rotation,
230086768,nan,nan,yes,Noisy_LCs,
230088370,nan,nan,no,Noisy_LCs,
230127302,nan,nan,no,Noisy_LCs,
230377505,nan,nan,no,Noisy_LCs,
230982885,nan,nan,no,Noisy_LCs,
231081369,nan,nan,no,Noisy_LCs,
231630147,7.932,1.354,no,Unambiguous_Rotation,
231663901,nan,nan,no,Ambiguous_Variability,
231670397,nan,nan,no,Noisy_LCs,
231702397,nan,nan,no,Noisy_LCs,
231728511,nan,nan,no,Noisy_LCs,
