TIC_ID,Prot,eProt,Flare_star,Variability_Classification,Data_Release,
31374837,nan,nan,no,Ambiguous_Variability,10/09/20,
31553893,nan,nan,no,Ambiguous_Variability,10/09/20,
31852980,nan,nan,no,Ambiguous_Variability,10/09/20,
31858843,nan,nan,no,Ambiguous_Variability,10/09/20,
31858844,nan,nan,no,Ambiguous_Variability,10/09/20,
32090583,nan,nan,yes,Ambiguous_Variability,10/09/20,
32497972,nan,nan,no,Noisy_LCs,10/09/20,
32499655,nan,nan,no,Noisy_LCs,10/09/20,
32830028,nan,nan,yes,Ambiguous_Variability,10/09/20,
33153766,2.863,0.186,no,Unambiguous_Rotation,10/09/20,
33521996,nan,nan,no,Noisy_LCs,10/09/20,
33692729,nan,nan,no,Noisy_LCs,10/09/20,
33831980,nan,nan,no,Noisy_LCs,10/09/20,
33878688,nan,nan,no,Noisy_LCs,10/09/20,
34068865,nan,nan,no,Ambiguous_Variability,10/09/20,
35009898,nan,nan,no,Noisy_LCs,10/09/20,
35516889,6.18/9.37,nan,no,Dubious_Rotation,10/09/20,
35857242,nan,nan,no,Noisy_LCs,10/09/20,
36352297,nan,nan,no,Noisy_LCs,10/09/20,
36440357,nan,nan,no,Noisy_LCs,10/09/20,
36724087,nan,nan,no,Noisy_LCs,10/09/20,
36734222,7.400,nan,no,Dubious_Rotation,10/09/20,
37168957,5.248,0.765,no,Unambiguous_Rotation,10/09/20,
37575651,nan,nan,no,Noisy_LCs,10/09/20,
37749396,nan,nan,no,Ambiguous_Variability,10/09/20,
37770169,nan,nan,no,Noisy_LCs,10/09/20,
38460940,nan,nan,no,Noisy_LCs,10/09/20,
38509907,nan,nan,no,Noisy_LCs,10/09/20,
38510224,nan,nan,no,Noisy_LCs,10/09/20,
38541473,3.009,0.216,no,Unambiguous_Rotation,10/09/20,
38571020,nan,nan,no,Noisy_LCs,10/09/20,
38603673,4.363,0.062,no,Unambiguous_Rotation,10/09/20,
38686737,nan,nan,no,Noisy_LCs,10/09/20,
38696105,nan,nan,no,Noisy_LCs,10/09/20,
38846515,nan,nan,no,Noisy_LCs,10/09/20,
39699648,nan,nan,no,Noisy_LCs,10/09/20,
41227743,nan,nan,no,Noisy_LCs,10/09/20,
42054565,nan,nan,no,Noisy_LCs,10/09/20,
42821097,nan,nan,no,Noisy_LCs,10/09/20,
43064903,nan,nan,no,Noisy_LCs,10/09/20,
43647325,nan,nan,no,Noisy_LCs,10/09/20,
44631965,nan,nan,no,Ambiguous_Variability,10/09/20,
44647437,nan,nan,no,Noisy_LCs,10/09/20,
44737596,nan,nan,no,Noisy_LCs,10/09/20,
44745077,nan,nan,no,Noisy_LCs,10/09/20,
44797824,1.414,0.022,no,Unambiguous_Rotation,10/09/20,
46096489,nan,nan,no,Noisy_LCs,10/09/20,
47316976,nan,nan,no,Noisy_LCs,10/09/20,
47384844,3.610,0.31,yes,Unambiguous_Rotation,10/09/20,
47484268,nan,nan,no,Noisy_LCs,10/09/20,
47525799,nan,nan,no,Noisy_LCs,10/09/20,
47911178,nan,nan,no,Ambiguous_Variability,10/09/20,
48103627,nan,nan,no,Noisy_LCs,10/09/20,
48476907,nan,nan,no,Ambiguous_Variability,10/09/20,
48476908,nan,nan,no,Ambiguous_Variability,10/09/20,
49687222,nan,nan,no,Noisy_LCs,10/09/20,
49771092,nan,nan,no,Noisy_LCs,10/09/20,
49899799,nan,nan,no,Ambiguous_Variability,10/09/20,
50309953,nan,nan,no,Noisy_LCs,10/09/20,
50312495,nan,nan,no,Noisy_LCs,10/09/20,
50618703,nan,nan,no,Ambiguous_Variability,10/09/20,
51024887,nan,nan,no,Noisy_LCs,10/09/20,
51234631,nan,nan,no,Noisy_LCs,10/09/20,
51912829,nan,nan,no,Noisy_LCs,10/09/20,
52204645,nan,nan,no,Noisy_LCs,10/09/20,
52280468,nan,nan,no,Noisy_LCs,10/09/20,
52368076,nan,nan,no,Noisy_LCs,10/09/20,
52640302,nan,nan,no,Noisy_LCs,10/09/20,
53189332,nan,nan,no,Noisy_LCs,10/09/20,
53593457,nan,nan,no,Noisy_LCs,10/09/20,
53735810,nan,nan,no,Noisy_LCs,10/09/20,
54085154,nan,nan,no,Noisy_LCs,10/09/20,
54962195,nan,nan,no,Noisy_LCs,10/09/20,
55092869,nan,nan,no,Noisy_LCs,10/09/20,
55383975,nan,nan,no,Noisy_LCs,10/09/20,
55452495,nan,nan,no,Noisy_LCs,10/09/20,
55488511,nan,nan,no,Noisy_LCs,10/09/20,
55525572,nan,nan,no,Noisy_LCs,10/09/20,
55559618,nan,nan,no,Noisy_LCs,10/09/20,
55650590,nan,nan,no,Noisy_LCs,10/09/20,
55652896,nan,nan,no,Noisy_LCs,10/09/20,
58542531,nan,nan,no,Ambiguous_Variability,10/09/20,
59003115,nan,nan,no,Noisy_LCs,10/09/20,
59843967,nan,nan,no,Noisy_LCs,10/09/20,
61538902,nan,nan,no,Noisy_LCs,10/09/20,
61988212,nan,nan,no,Noisy_LCs,10/09/20,
62483237,6.83/11.09,nan,no,Dubious_Rotation,10/09/20,
63898957,nan,nan,no,Noisy_LCs,10/09/20,
64071894,nan,nan,no,Ambiguous_Variability,10/09/20,
66818296,nan,nan,no,Noisy_LCs,10/09/20,
67418624,nan,nan,no,Noisy_LCs,10/09/20,
67646988,1.105,0.027,yes,Unambiguous_Rotation,10/09/20,
67666096,nan,nan,no,Ambiguous_Variability,10/09/20,
69679391,nan,nan,no,Noisy_LCs,10/09/20,
69747919,nan,nan,no,Noisy_LCs,10/09/20,
70440470,nan,nan,no,Noisy_LCs,10/09/20,
70513361,nan,nan,no,Noisy_LCs,10/09/20,
70797900,2.037,0.086,yes,Unambiguous_Rotation,10/09/20,
70899085,nan,nan,no,Noisy_LCs,10/09/20,
70914192,nan,nan,no,Noisy_LCs,10/09/20,
71431780,nan,nan,no,Noisy_LCs,10/09/20,
71512186,nan,nan,no,Noisy_LCs,10/09/20,
72985822,nan,nan,no,Noisy_LCs,10/09/20,
73228647,nan,nan,no,Noisy_LCs,10/09/20,
73649615,nan,nan,no,Noisy_LCs,10/09/20,
73717937,nan,nan,no,Noisy_LCs,10/09/20,
73723286,nan,nan,no,Ambiguous_Variability,10/09/20,
74534430,nan,nan,no,Noisy_LCs,10/09/20,
76923707,nan,nan,no,Ambiguous_Variability,10/09/20,
76989773,nan,nan,no,Ambiguous_Variability,10/09/20,
77031414,7.765,1.37,no,Unambiguous_Rotation,10/09/20,
77044471,11.280,nan,no,Dubious_Rotation,10/09/20,
77156829,nan,nan,no,Noisy_LCs,10/09/20,
77228304,nan,nan,no,Noisy_LCs,10/09/20,
77253676,nan,nan,no,Noisy_LCs,10/09/20,
77951245,5.388,0.338,yes,Unambiguous_Rotation,10/09/20,
78055054,nan,nan,no,Noisy_LCs,10/09/20,
78154865,4.634,0.596,no,Unambiguous_Rotation,10/09/20,
79748331,nan,nan,no,Ambiguous_Variability,10/09/20,
81212286,nan,nan,no,Noisy_LCs,10/09/20,
82128636,3.329,0.142,no,Unambiguous_Rotation,10/09/20,
82362447,nan,nan,no,Noisy_LCs,10/09/20,
83092282,nan,nan,no,Noisy_LCs,10/09/20,
85031598,nan,nan,no,Noisy_LCs,10/09/20,
85242435,nan,nan,no,Ambiguous_Variability,10/09/20,
85293053,nan,nan,no,Ambiguous_Variability,10/09/20,
86396382,nan,nan,no,Noisy_LCs,10/09/20,
88977253,nan,nan,no,Noisy_LCs,10/09/20,
89020549,nan,nan,no,Noisy_LCs,10/09/20,
89256802,nan,nan,yes,Ambiguous_Variability,10/09/20,
90504905,nan,nan,no,Noisy_LCs,10/09/20,
92226327,nan,nan,no,Noisy_LCs,10/09/20,
92352620,nan,nan,no,Noisy_LCs,10/09/20,
92359850,3.042,0.231,no,Unambiguous_Rotation,10/09/20,
93125144,1.427,0.051,yes,Unambiguous_Rotation,10/09/20,
94986319,nan,nan,no,Noisy_LCs,10/09/20,
96097215,nan,nan,no,Ambiguous_Variability,10/09/20,
97409519,nan,nan,no,Noisy_LCs,10/09/20,
98796344,1.393,0.046,yes,Unambiguous_Rotation,10/09/20,
99834717,nan,nan,no,Noisy_LCs,10/09/20,
100100827,nan,nan,no,Binary,10/09/20,
100608026,nan,nan,no,Noisy_LCs,10/09/20,
100990000,nan,nan,no,Noisy_LCs,10/09/20,
101011575,7.170,nan,no,Dubious_Rotation,10/09/20,
101230735,nan,nan,no,Ambiguous_Variability,10/09/20,
101395259,nan,nan,no,Noisy_LCs,10/09/20,
101497191,nan,nan,no,Noisy_LCs,10/09/20,
101948569,8.810,nan,no,Dubious_Rotation,10/09/20,
101955023,nan,nan,no,Noisy_LCs,10/09/20,
102195674,4.908,0.574,no,Unambiguous_Rotation,10/09/20,
102672709,nan,nan,no,Noisy_LCs,10/09/20,
103448870,3.103,0.219,no,Unambiguous_Rotation,10/09/20,
103633434,nan,nan,no,Noisy_LCs,10/09/20,
104024556,1.073,0.029,no,Unambiguous_Rotation,10/09/20,
106402532,nan,nan,no,Noisy_LCs,10/09/20,
108645766,nan,nan,no,Noisy_LCs,10/09/20,
110428269,nan,nan,no,Noisy_LCs,10/09/20,
111991770,nan,nan,no,Noisy_LCs,10/09/20,
112395568,10.780,nan,no,Dubious_Rotation,10/09/20,
115771549,nan,nan,no,Noisy_LCs,10/09/20,
116483514,nan,nan,no,Noisy_LCs,10/09/20,
116483734,nan,nan,no,Noisy_LCs,10/09/20,
117979455,nan,nan,no,Noisy_LCs,10/09/20,
117979694,8.521,1.513,no,Unambiguous_Rotation,10/09/20,
117979850,nan,nan,no,Noisy_LCs,10/09/20,
117979897,nan,nan,no,Noisy_LCs,10/09/20,
118327550,nan,nan,no,Noisy_LCs,10/09/20,
119081096,nan,nan,no,Noisy_LCs,10/09/20,
119292328,nan,nan,no,Noisy_LCs,10/09/20,
119700084,nan,nan,no,Noisy_LCs,10/09/20,
120247528,nan,nan,no,Noisy_LCs,10/09/20,
120585579,nan,nan,no,Noisy_LCs,10/09/20,
120602501,nan,nan,no,Noisy_LCs,10/09/20,
120610833,nan,nan,no,Noisy_LCs,10/09/20,
120757718,nan,nan,no,Noisy_LCs,10/09/20,
120896927,nan,nan,no,Noisy_LCs,10/09/20,
120916706,nan,nan,no,Noisy_LCs,10/09/20,
120960812,nan,nan,no,Noisy_LCs,10/09/20,
121338379,nan,nan,no,Noisy_LCs,10/09/20,
121966220,nan,nan,no,Noisy_LCs,10/09/20,
122220263,nan,nan,no,Noisy_LCs,10/09/20,
122612091,nan,nan,no,Ambiguous_Variability,10/09/20,
122613513,nan,nan,no,Noisy_LCs,10/09/20,
123482865,4.330,0.24,no,Unambiguous_Rotation,10/09/20,
123702439,nan,nan,no,Noisy_LCs,10/09/20,
124573851,nan,nan,no,Noisy_LCs,10/09/20,
125405602,nan,nan,no,Noisy_LCs,10/09/20,
125442121,nan,nan,no,Ambiguous_Variability,10/09/20,
126733133,nan,nan,no,Noisy_LCs,10/09/20,
127530399,nan,nan,no,Noisy_LCs,10/09/20,
128790976,1.361,0.04,no,Unambiguous_Rotation,10/09/20,
129979528,nan,nan,no,Pulsation,10/09/20,
130181866,6.508,0.921,no,Unambiguous_Rotation,10/09/20,
130924120,nan,nan,no,Noisy_LCs,10/09/20,
131081852,7.140,nan,no,Dubious_Rotation,10/09/20,
131419878,nan,nan,no,Noisy_LCs,10/09/20,
133334108,4.906,0.301,no,Unambiguous_Rotation,10/09/20,
134200185,nan,nan,no,Noisy_LCs,10/09/20,
