,pl-name,pl-letter,hostname,hd-name,hip-name,tic-id,gaia-id,pl-orbsmax,pl-orbsmaxerr1,pl-orbsmaxerr2,pl-rade,pl-radeerr1,pl-radeerr2,pl-bmasse,pl-bmasseerr1,pl-bmasseerr2,pl-radj,pl-radjerr1,pl-radjerr2,pl-bmassj,pl-bmassjerr1,pl-bmassjerr2,pl-bmassprov,pl-orbeccen,pl-orbeccenerr1,pl-orbeccenerr2,pl-orbper,pl-orbpererr1,pl-orbpererr2,st-spectype,st-age,st-ageerr1,st-ageerr2,st-met,st-meterr1,st-meterr2,st-metratio,st-lum,st-lumerr1,st-lumerr2,st-teff,st-tefferr1,st-tefferr2,st-rad,st-raderr1,st-raderr2,st-mass,st-masserr1,st-masserr2,st-vsin,st-vsinerr1,st-vsinerr2,st-rotp,st-rotperr1,st-rotperr2,sy-dist,sy-disterr1,sy-disterr2,sy-vmag,sy-vmagerr1,sy-vmagerr2,sy-kmag,sy-kmagerr1,sy-kmagerr2,sy-snum,sy-pnum,sy-mnum,KIC,koi-name,kepler-name,KOI,TIC,GAIA,e_pl_orbsmax,e_pl_rade,e_pl_bmasse,e_pl_radj,e_pl_bmassj,e_pl_orbeccen,e_pl_orbper,e_st_age,e_st_met,e_st_lum,e_st_teff,e_st_rad,e_st_mass,e_st_vsin,e_st_rotp,e_sy_dist,e_sy_vmag,e_sy_kmag,st-flux,st-spectype-ltr,st-spectype-num,st-lumiclass,st-spectype-val,st-spectype-str
1091,Pr0201 b,b,Pr0201,,,TIC 175290574,Gaia DR2 661424074527577600,0.06,0.0,0.0,14.2,,,171.6282,38.1396,-38.1396,1.27,,,0.54,0.12,-0.12,Msini,0.0,,,4.4264,0.007,-0.007,,,,,0.19,,,[Fe/H],0.245,0.007,-0.007,6174.0,50.0,-50.0,1.15,0.12,-0.12,1.24,0.39,-0.39,9.6,0.5,,,,,180.64,2.488,-2.423,10.445,0.008,-0.008,9.142,0.018,-0.018,1,1,0,-1,,,-1,175290574,6.614240745275776e+17,0.0,,38.1396,,0.12,,0.007,,,0.007,50.0,0.12,0.39,,,2.488,0.008,0.018,-15.996684584392902,,,,,
1092,UZ For c,c,UZ For,,,TIC 144622139,Gaia DR2 5084805635638179584,2.8,0.5,-0.5,,,,2447.2,381.4,-381.4,,,,7.7,1.2,-1.2,Mass,0.05,0.05,-0.05,1916.25,91.25,-91.25,,,,,,,,,,,,5286.9,1763.1,-307.06,,,,0.7,,,,,,,,,239.6038748,4.2611816,-4.2611816,16.7753,0.0939,-0.0939,14.776,0.124,-0.124,2,2,0,-1,,,-1,144622139,5.08480563563818e+18,0.5,,381.4,,1.2,0.05,91.25,,,,1763.1,,,,,4.2611816,0.0939,0.124,,,,,,
1093,TOI-2109 b,b,TOI-2109,,,TIC 392476080,Gaia DR2 4558177980120149632,0.01791,0.00065,-0.00065,15.098,0.527,-0.527,1595.4986,238.37131,-238.37131,1.347,0.047,-0.047,5.02,0.75,-0.75,Mass,,,,0.67247414,3e-08,-2.8e-07,F,1.77,0.88,-0.68,0.068,0.07,-0.062,[Fe/H],0.673,0.034,-0.026,6540.0,160.0,-160.0,1.7,0.06,-0.06,1.45,0.07,-0.07,81.2,1.6,-1.6,,,,262.041,2.753,-2.698,10.217,0.004,-0.004,9.07,0.021,-0.021,1,1,0,-1,,,-1,392476080,4.5581779801201495e+18,0.00065,0.527,238.37131,0.047,0.75,,2.8e-07,0.88,0.07,0.034,160.0,0.06,0.07,1.6,,2.753,0.004,0.021,-15.891795231463584,F,,,,F
1094,Kepler-8 b,b,Kepler-8,,,TIC 123233041,Gaia DR2 2116730994965905280,0.0474,0.0018,-0.0021,15.872,0.594,-0.695,187.5197,41.3179,-38.1396,1.416,0.053,-0.062,0.59,0.13,-0.12,Mass,0.0,,,3.5224991,7e-07,-7e-07,,3.47,0.6,-0.5,-0.055,0.03,-0.03,[Fe/H],0.605,0.053,-0.062,6213.0,150.0,-150.0,1.49,0.05,-0.06,1.21,0.07,-0.06,10.5,0.7,-0.7,,,,1021.87,14.575,-14.575,13.598,0.069,-0.069,12.293,0.016,-0.016,1,1,0,6922244,K00010.01,Kepler-8 b,10,123233041,2.1167309949659052e+18,0.0021,0.695,41.3179,0.062,0.13,,7e-07,0.6,0.03,0.062,150.0,0.06,0.07,0.7,,14.575,0.069,0.016,-17.141848033924898,,,,,
1095,TOI-2154 b,b,TOI-2154,,,TIC 428787891,Gaia DR2 570653411060484480,0.0513,0.0011,-0.0013,16.287,0.594,-0.538,292.40213,60.3874,-57.20911,1.453,0.053,-0.048,0.92,0.19,-0.18,Mass,0.117,0.1,-0.079,3.8240801,2.5e-06,-2.5e-06,,2.9,2.1,-1.5,0.011,0.071,-0.059,[Fe/H],0.435,0.035,-0.033,6280.0,160.0,-160.0,1.4,0.05,-0.04,1.23,0.08,-0.09,,,,,,,296.46,2.174,-2.143,11.068,0.008,-0.008,9.85,0.025,-0.025,1,1,0,-1,,,-1,428787891,5.706534110604845e+17,0.0013,0.594,60.3874,0.053,0.19,0.1,2.5e-06,2.1,0.071,0.035,160.0,0.05,0.09,,,2.174,0.008,0.025,-16.236988943777234,,,,,
1096,TOI-2337 b,b,TOI-2337,,,TIC 230001847,Gaia DR2 2239684947894267392,,,,10.088,1.121,-1.121,508.52545,47.67426,-47.67426,0.9,0.1,-0.1,1.6,0.15,-0.15,Mass,0.019,0.017,-0.017,2.99432,8e-05,-8e-05,,4.9,1.8,-1.8,0.39,0.06,-0.06,[Fe/H],0.689,,,4780.0,100.0,-100.0,3.22,0.06,-0.06,1.32,0.12,-0.12,,,,,,,536.046,5.977,-5.85,12.524,0.034,-0.034,9.678001,0.019,-0.019,1,1,0,-1,,,-1,230001847,2.2396849478942676e+18,,1.121,47.67426,0.1,0.15,0.017,8e-05,1.8,0.06,,100.0,0.06,0.12,,,5.977,0.034,0.019,-16.497460854500876,,,,,
1097,TOI-1431 b,b,TOI-1431,HD 201033,,TIC 375506058,Gaia DR2 2188906825165621120,0.046,0.002,-0.002,16.701,0.56,-0.56,991.62463,57.20911,-57.20911,1.49,0.05,-0.05,3.12,0.18,-0.18,Mass,0.0022,0.003,-0.0016,2.650237,3e-06,-3e-06,Am C,0.29,0.32,-0.19,0.09,0.03,-0.03,[Fe/H],1.068,0.078,-0.047,7690.0,400.0,-250.0,1.92,0.07,-0.07,1.9,0.1,-0.08,6.0,0.2,-0.2,,,,148.925,1.034,-1.02,8.03,0.03,-0.03,7.439,0.029,-0.029,1,1,0,-1,,,-1,375506058,2.1889068251656207e+18,0.002,0.56,57.20911,0.05,0.18,0.003,3e-06,0.32,0.03,0.078,400.0,0.07,0.1,0.2,,1.034,0.03,0.029,-15.005991952772881,A,,,,A
1098,WASP-148 b,b,WASP-148,,,TIC 115524421,Gaia DR2 1358355738906114816,0.08215,0.00086,-0.0015,8.474,0.146,-0.191,91.21675,6.99222,-5.08525,0.756,0.013,-0.017,0.287,0.022,-0.016,Mass,0.208,0.02,-0.025,8.803809,4.3e-05,-4.3e-05,G,3.6,4.0,-2.7,0.099,0.078,-0.078,[Fe/H],-0.139,0.021,-0.022,5555.0,90.0,-90.0,0.91,0.01,-0.01,0.95,0.03,-0.05,2.3,0.38,-0.34,26.2,1.3,-1.3,246.353,1.575,-1.555,12.036,0.05,-0.05,10.506,0.017,-0.017,1,2,0,-1,,,-1,115524421,1.3583557389061148e+18,0.0015,0.191,6.99222,0.017,0.022,0.025,4.3e-05,4.0,0.078,0.022,90.0,0.01,0.05,0.38,1.3,1.575,0.05,0.017,-16.650172445887616,G,,,,G
1099,Wendelstein-2 b,b,Wendelstein-2,,,TIC 209752908,Gaia DR2 1820764455009323392,0.0234,0.0015,-0.0015,12.993,0.229,-0.235,232.33373,171.94603,-98.84513,1.159,0.02,-0.021,0.731,0.541,-0.311,Mass,0.057,,,1.7522239,8e-07,-8e-07,K6 V,,,,,,,,-0.834,0.024,-0.025,4591.0,195.0,-195.0,0.66,0.1,-0.1,0.73,0.11,-0.11,,,,,,,565.541,14.296,-13.619,16.186,0.035,-0.035,13.332,0.039,-0.039,1,1,0,-1,,,-1,209752908,1.8207644550093235e+18,0.0015,0.235,171.94603,0.021,0.541,,8e-07,,,0.025,195.0,0.1,0.11,,,14.296,0.035,0.039,-18.06698492609111,K,6.0, V,16.0,K6  V
1100,TOI-1811 b,b,TOI-1811,,,TIC 376524552,Gaia DR2 3962403923821595264,0.04389,0.00058,-0.00055,11.142,0.28,-0.258,308.92921,24.15496,-24.79062,0.994,0.025,-0.023,0.972,0.076,-0.078,Mass,0.052,0.062,-0.037,3.7130765,1.7e-06,-1.7e-06,,5.9,4.9,-4.0,0.306,0.076,-0.077,[Fe/H],-0.56,0.011,-0.011,4766.0,52.0,-54.0,0.77,0.02,-0.02,0.82,0.03,-0.03,,,,,,,128.23,0.711,-0.704,11.966,0.057,-0.057,9.643,0.025,-0.025,1,1,0,-1,,,-1,376524552,3.962403923821595e+18,0.00058,0.28,24.79062,0.025,0.078,0.062,1.7e-06,4.9,0.077,0.011,54.0,0.02,0.03,,,0.711,0.057,0.025,-16.50403601976614,,,,,
1101,CoRoT-27 b,b,CoRoT-27,,,TIC 416136788,Gaia DR2 4284721191974346752,0.0476,0.0066,-0.0066,11.287,0.493,-0.493,3302.11,174.8,-174.8,1.007,0.044,-0.044,10.39,0.55,-0.55,Mass,0.065,,,3.57532,6e-05,-6e-05,G2,4.21,2.72,-2.72,-0.1,0.1,-0.1,[M/H],-0.166,0.056,-0.064,5900.0,120.0,-120.0,1.08,0.18,-0.06,1.05,0.11,-0.11,4.0,1.0,-1.0,,,,1010.28,69.26,-61.036,15.774,0.103,-0.103,12.985,0.033,-0.033,1,1,0,-1,,,-1,416136788,4.284721191974347e+18,0.0066,0.493,174.8,0.044,0.55,,6e-05,2.72,0.1,0.064,120.0,0.18,0.11,1.0,,69.26,0.103,0.033,-17.902940246365237,G,2.0,,22.0,G2 
1102,HD 47366 c,c,HD 47366,HD 47366,HIP 31674,TIC 443578538,Gaia DR2 2951804033248308480,1.84,0.002,-0.002,13.5,,,483.73484,22.88365,-22.24799,1.21,,,1.522,0.072,-0.07,Msini,0.161,0.045,-0.041,677.53,1.29,-1.16,K1 III,1.61,0.53,-0.53,-0.02,0.09,-0.09,[Fe/H],1.417,0.029,-0.031,4866.0,100.0,-100.0,7.3,0.33,-0.33,1.81,0.13,-0.13,4.3,0.8,-0.8,86.0,,,84.3552,0.456,-0.456,6.11151,0.023,-0.023,4.055,0.29,-0.29,1,2,0,-1,,,-1,443578538,2.951804033248308e+18,0.002,,22.88365,,0.072,0.045,1.29,0.53,0.09,0.031,100.0,0.33,0.13,0.8,,0.456,0.023,0.29,-14.163280454112774,K,1.0, III,11.0,K1  III
1103,ome Ser b,b,ome Ser,HD 141680,HIP 77578,TIC 272677041,Gaia DR2 4423234230853333632,0.838,0.002,-0.001,14.0,,,233.92171,19.0697,-33.68981,1.25,,,0.736,0.06,-0.106,Msini,0.18,0.066,-0.127,278.59,0.8,-0.61,G8 III,,,,-0.12,0.01,-0.03,[Fe/H],1.734,0.012,-0.018,4724.0,,,10.99,0.15,-0.24,1.01,0.07,-0.08,1.89,,,,,,76.7556,0.7949,-0.7949,5.21644,0.023,-0.023,2.929,0.224,-0.224,2,1,0,-1,,,-1,272677041,4.4232342308533335e+18,0.002,,33.68981,,0.106,0.127,0.8,,0.03,0.018,,0.24,0.08,,,0.7949,0.023,0.224,-13.76427687708987,G,8.0, III,28.0,G8  III
1104,NGTS-11 b,b,NGTS-11,,,TIC 54002556,Gaia DR2 2453680078509741056,0.201,0.0021,-0.0022,9.158,0.314,-0.359,109.33352,29.24036,-23.20159,0.817,0.028,-0.032,0.344,0.092,-0.073,Mass,0.13,0.1,-0.09,35.45533,0.00019,-0.00019,K,3.9,1.6,-1.6,0.22,0.08,-0.08,[Fe/H],-0.395,0.006,-0.006,5050.0,80.0,-80.0,0.83,0.01,-0.01,0.86,0.03,-0.03,1.1,0.8,-0.8,,,,190.422,1.777,-1.744,12.456,0.08,-0.08,10.315,0.025,-0.025,1,1,0,-1,,,-1,54002556,2.453680078509741e+18,0.0022,0.359,29.24036,0.032,0.092,0.1,0.00019,1.6,0.08,0.006,80.0,0.01,0.03,0.8,,1.777,0.08,0.025,-16.682490979700425,K,,,,K
1105,HD 142 c,c,HD 142,HD 142,HIP 522,TIC 389757979,Gaia DR2 4976894960284258048,9.811,0.515,-0.52,12.4,,,3464.64746,406.1847,-297.80522,1.11,,,10.901,1.278,-0.937,Mass,0.277,0.026,-0.027,10159.64279,380.8401,-321.75084,F7V,3.12,0.4,-0.56,0.09,0.05,-0.05,[Fe/H],0.474,0.001,-0.001,6245.0,48.0,-48.0,1.47,0.04,-0.04,1.21,0.17,-0.17,10.4,0.5,-0.5,,,,26.1853,0.0449,-0.0446,5.7,0.03,-0.03,4.474,0.024,-0.024,2,3,0,-1,,,-1,389757979,4.976894960284258e+18,0.52,,406.1847,,1.278,0.027,380.8401,0.56,0.05,0.001,48.0,0.04,0.17,0.5,,0.0449,0.03,0.024,-14.090171843021627,F,7.0,,37.0,F7 
1106,HD 156098 c,c,HD 156098,HD 156098,,TIC 152449405,Gaia DR2 5979460655025099776,8.415,0.396,-0.629,12.8,,,1661.60691,615.95145,-409.04516,1.14,,,5.228,1.938,-1.287,Mass,0.391,0.04,-0.051,7841.5839,247.41756,-516.56728,,,,,0.12,0.028,-0.028,[M/H],1.066,0.015,-0.018,6419.19,139.97,-144.01,2.76,0.12,-0.14,1.29,0.2,-0.2,,,,,,,48.249,0.3786,-0.3729,5.53,0.03,-0.03,4.357,0.016,-0.016,1,2,0,-1,,,-1,152449405,5.9794606550251e+18,0.629,,615.95145,,1.938,0.051,516.56728,,0.028,0.018,144.01,0.14,0.2,,,0.3786,0.03,0.016,-14.029033368560379,,,,,
1107,HIP 67851 b,b,HIP 67851,HD 121056,HIP 67851,TIC 111947706,Gaia DR2 6169943210465504384,0.482,0.009,-0.01,13.5,,,498.35494,22.56582,-22.88365,1.21,,,1.568,0.071,-0.072,Msini,0.063,0.031,-0.032,88.87622,0.11842,-0.11971,K0 III,,,,0.0,0.1,-0.1,[Fe/H],1.207,0.021,-0.022,4890.0,100.0,-100.0,5.87,0.29,-0.29,1.9,0.11,-0.11,1.8,0.9,-0.9,,,,64.1181,0.1748,-0.1748,6.17,0.03,-0.03,3.751,0.236,-0.236,1,2,0,-1,,,-1,111947706,6.169943210465504e+18,0.01,,22.88365,,0.072,0.032,0.11971,,0.1,0.022,100.0,0.29,0.11,0.9,,0.1748,0.03,0.236,-14.135018024237832,K,0.0, III,10.0,K0  III
1108,HIP 90988 b,b,HIP 90988,HD 170707,HIP 90988,TIC 404598466,Gaia DR2 6703673951620872192,1.36,0.026,-0.027,13.4,,,668.07531,25.10844,-27.01541,1.19,,,2.102,0.079,-0.085,Msini,0.081,0.042,-0.043,455.73816,2.11413,-1.88939,K1 III,4.55,1.12,-0.8,0.17,0.06,-0.06,[Fe/H],0.89,0.008,-0.009,4883.0,57.0,-57.0,3.94,0.04,-0.04,1.61,0.09,-0.09,3.5,0.6,-0.6,,,,94.0349,0.3884,-0.3853,7.75,0.03,-0.03,5.383,0.02,-0.02,1,1,0,-1,,,-1,404598466,6.703673951620872e+18,0.027,,27.01541,,0.085,0.043,2.11413,1.12,0.06,0.009,57.0,0.04,0.09,0.6,,0.3884,0.03,0.02,-14.784634869333019,K,1.0, III,11.0,K1  III
1109,tau Boo b,b,tau Boo,HD 120136,HIP 67275,TIC 72506701,Gaia DR2 1244571953471006720,0.049,0.003,-0.003,12.8,,,1891.0,89.0,-89.0,1.14,,,5.95,0.28,-0.28,Mass,0.011,0.006,-0.006,3.3124568,6.9e-06,-6.9e-06,F7 V,2.0,,,0.264,0.02,-0.02,[M/H],0.505,0.017,-0.019,6466.27,115.27,-96.8,1.43,0.06,-0.05,1.32,0.24,-0.18,14.98,,,4.0,,,15.6521,0.0847,-0.0838,4.48635,0.023,-0.023,3.507,0.348,-0.348,2,1,0,-1,,,-1,72506701,1.2445719534710067e+18,0.003,,89.0,,0.28,0.006,6.9e-06,,0.02,0.019,115.27,0.06,0.24,,,0.0847,0.023,0.348,-13.612201963050712,F,7.0, V,37.0,F7  V
1110,KIC 5479689 b,b,KIC 5479689,,,TIC 171975725,Gaia DR2 2075056519291867648,,,,14.2,,,158.9142,127.13136,-31.78284,1.27,,,0.5,0.4,-0.1,Msini,,,,1.701531,8e-06,-0.000419,,,,,0.161,0.116,-0.115,[Fe/H],-0.201,,,5459.1,90.0,-85.2,0.89,0.02,-0.02,0.97,0.03,-0.04,,,,,,,454.95,4.617,-4.617,13.929,0.114,-0.114,11.937,0.018,-0.018,1,1,0,5479689,,Kepler-1707 b,-1,171975725,2.075056519291868e+18,,,127.13136,,0.4,,0.000419,,0.116,,90.0,0.02,0.04,,,4.617,0.114,0.018,-17.244984073963806,,,,,
1111,eps Eri b,b,eps Eri,HD 22049,HIP 16537,TIC 118572803,Gaia DR2 5164707970261630080,3.53,0.03,-0.04,14.1,,,209.76675,38.13941,-28.60456,1.25,,,0.66,0.12,-0.09,Mass,0.07,0.07,-0.05,2671.0,17.0,-23.0,K2 V,0.6,0.2,-0.2,-0.13,0.04,-0.04,[Fe/H],-0.419,0.002,-0.002,5020.38,57.69,-57.69,0.76,0.01,-0.01,0.82,0.02,-0.02,2.4,0.5,-0.5,11.3,,,3.2026,0.00483,-0.00483,3.71548,0.023,-0.023,1.776,0.286,-0.286,1,1,0,-1,,,-1,118572803,5.16470797026163e+18,0.04,,38.13941,,0.12,0.07,23.0,0.2,0.04,0.002,57.69,0.01,0.02,0.5,,0.00483,0.023,0.286,-13.158062133857007,K,2.0, V,12.0,K2  V
1112,CoRoT-18 b,b,CoRoT-18,,,TIC 37168957,Gaia DR2 3120058170178779392,0.0295,0.0016,-0.0016,14.68,2.02,-2.02,1102.82,120.77,-120.77,1.31,0.18,-0.18,3.47,0.38,-0.38,Mass,0.08,,,1.9000693,2.8e-06,-2.8e-06,G9 V,0.032,0.003,-0.003,-0.1,0.1,-0.1,[Fe/H],-0.17,0.06,-0.06,5440.0,100.0,-100.0,1.0,0.13,-0.13,0.95,0.15,-0.15,8.0,1.0,-1.0,5.4,0.4,-0.4,764.889,27.614,-25.784,14.868,0.172,-0.172,13.014,0.03,-0.03,1,1,0,-1,,,-1,37168957,3.120058170178779e+18,0.0016,2.02,120.77,0.18,0.38,,2.8e-06,0.003,0.1,0.06,100.0,0.13,0.15,1.0,0.4,27.614,0.172,0.03,-17.665253565838544,G,9.0, V,29.0,G9  V
1113,KMT-2021-BLG-1150L b,b,KMT-2021-BLG-1150L,,,,,4.5,1.6,-1.4,13.9,,,279.689,120.77479,-114.41823,1.24,,,0.88,0.38,-0.36,Mass,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.32,-0.3,,,,,,,3800.0,1300.0,-1200.0,,,,,,,1,1,0,-1,,,-1,-1,,1.6,,120.77479,,0.38,,,,,,,,0.32,,,1300.0,,,,,,,,
1114,GU Psc b,b,GU Psc,,,TIC 408263079,Gaia DR2 2784120641627589760,2000.0,200.0,-200.0,14.179,1.289,-1.289,3591.3,540.3,-540.3,1.265,0.115,-0.115,11.3,1.7,-1.7,Mass,,,,,,,M3,0.1,0.03,-0.03,0.1,0.13,-0.13,[Fe/H],-1.602,0.095,-0.121,4031.81,69.69,-168.54,0.45,0.01,-0.01,0.33,0.03,-0.03,23.0,1.4,-1.4,,,,47.5501,0.1649,-0.1638,14.146,0.099,-0.099,9.345,0.015,-0.015,1,1,0,-1,,,-1,408263079,2.7841206416275896e+18,200.0,1.289,540.3,0.115,1.7,,,0.03,0.13,0.121,168.54,0.01,0.03,1.4,,0.1649,0.099,0.015,-16.684359604461577,M,3.0,,3.0,M3 
1115,WASP-184 b,b,WASP-184,,,TIC 112099249,Gaia DR2 6173435259395017344,0.0627,0.0012,-0.0012,14.908,1.009,-1.009,181.1631,31.783,-31.783,1.33,0.09,-0.09,0.57,0.1,-0.1,Mass,0.0,,,5.1817,1e-05,-1e-05,G0 V,4.7,1.1,-1.1,0.12,0.08,-0.08,[Fe/H],0.501,0.016,-0.017,6000.0,100.0,-100.0,1.65,0.09,-0.09,1.23,0.07,-0.07,4.5,1.1,-1.1,,,,663.231,16.965,-16.152,12.771,0.08,-0.08,11.262,0.025,-0.025,1,1,0,-1,,,-1,112099249,6.173435259395018e+18,0.0012,1.009,31.783,0.09,0.1,,1e-05,1.1,0.08,0.017,100.0,0.09,0.07,1.1,,16.965,0.08,0.025,-16.870386369876147,G,0.0, V,20.0,G0  V
1116,Kepler-427 b,b,Kepler-427,,,TIC 158668572,Gaia DR2 2103014626070505344,0.091,0.01,-0.01,13.79,2.35,-2.35,92.17,28.6,-28.6,1.23,0.21,-0.21,0.29,0.09,-0.09,Mass,0.57,,,10.290994,1.1e-06,-1.1e-06,G2 V,7.0,4.0,-4.0,-0.19,0.07,-0.07,[Fe/H],0.29,0.13,-0.13,5800.0,70.0,-70.0,1.35,0.2,-0.2,0.96,0.06,-0.06,3.0,1.0,-1.0,,,,1017.8,16.49,-15.98,14.301,0.092,-0.092,12.777,0.024,-0.024,1,1,0,7950644,K00192.01,Kepler-427 b,192,158668572,2.1030146260705052e+18,0.01,2.35,28.6,0.21,0.09,,1.1e-06,4.0,0.07,0.13,70.0,0.2,0.06,1.0,,16.49,0.092,0.024,-17.453381628305667,G,2.0, V,22.0,G2  V
1117,KMT-2018-BLG-2602L b,b,KMT-2018-BLG-2602L,,,,,3.81,2.96,-2.32,13.7,,,365.50267,232.01474,-200.2319,1.22,,,1.15,0.73,-0.63,Mass,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.42,-0.36,,,,,,,4310.0,1970.0,-1840.0,,,,,,,1,1,0,-1,,,-1,-1,,2.96,,232.01474,,0.73,,,,,,,,0.42,,,1970.0,,,,,,,,
1118,91 Aqr b,b,91 Aqr,HD 219449,HIP 114855,TIC 4610441,Gaia DR2 2630155547353593216,0.7,,,13.1,,,1017.0,,,1.17,,,3.2,,,Msini,0.027,0.026,-0.026,181.4,0.1,-0.1,K0 III,3.56,0.63,-0.63,-0.03,0.1,-0.1,[Fe/H],1.692,0.006,-0.006,4665.0,18.0,-18.0,11.0,0.1,-0.1,1.4,0.1,-0.1,3.9,0.5,-0.5,,,,44.0304,0.51325,-0.51325,4.23946,0.023,-0.023,1.597,0.236,-0.236,3,1,0,-1,,,-1,4610441,2.6301555473535933e+18,,,,,,0.026,0.1,0.63,0.1,0.006,18.0,0.1,0.1,0.5,,0.51325,0.023,0.236,-13.323561996997483,K,0.0, III,10.0,K0  III
1119,CoRoT-9 b,b,CoRoT-9,,,TIC 130162252,Gaia DR2 4285571629874670080,0.4021,0.0054,-0.0054,11.949,0.841,-0.706,266.9772,15.8915,-15.8915,1.066,0.075,-0.063,0.84,0.05,-0.05,Mass,0.133,0.042,-0.037,95.272656,6.8e-05,-6.8e-05,G3 V,6.0,3.0,-3.0,-0.01,0.06,-0.06,[Fe/H],-0.254,0.012,-0.012,5625.0,80.0,-80.0,0.96,0.06,-0.06,0.96,0.04,-0.04,3.5,,,,,,412.98,4.725,-4.622,13.637,0.137,-0.137,11.688,0.023,-0.023,2,1,0,-1,,,-1,130162252,4.28557162987467e+18,0.0054,0.841,15.8915,0.075,0.05,0.042,6.8e-05,3.0,0.06,0.012,80.0,0.06,0.04,,,4.725,0.137,0.023,-17.21391477510587,G,3.0, V,23.0,G3  V
1120,Kepler-1704 b,b,Kepler-1704,,,TIC 350738167,Gaia DR2 2136191736602006016,2.027,0.024,-0.03,11.949,0.493,-0.471,1322.16617,92.17024,-88.99195,1.066,0.044,-0.042,4.16,0.29,-0.28,Mass,0.92,0.01,-0.016,988.88112,0.00091,-0.00091,,7.4,1.5,-1.0,0.196,0.058,-0.058,[Fe/H],0.452,0.025,-0.03,5746.0,87.0,-88.0,1.7,0.06,-0.06,1.13,0.04,-0.05,,,,,,,835.455,9.323,-9.122,13.392,0.137,-0.137,11.792,0.026,-0.026,1,1,0,12356617,K00375.01,Kepler-1704 b,375,350738167,2.136191736602006e+18,0.03,0.493,92.17024,0.044,0.29,0.016,0.00091,1.5,0.058,0.03,88.0,0.06,0.05,,,9.323,0.137,0.026,-17.119902860259643,,,,,
1121,HD 81688 b,b,HD 81688,HD 81688,HIP 46471,TIC 105438311,Gaia DR2 818464227945910016,0.648,0.0,0.0,13.5,,,525.68819,17.16273,-17.48056,1.2,,,1.654,0.054,-0.055,Msini,0.04,0.022,-0.031,183.93,0.09,-0.09,K0 III-IV,1.48,0.21,-0.21,-0.32,0.1,-0.1,[Fe/H],1.78,0.095,-0.057,4797.0,,,11.13,1.58,-0.68,1.07,0.27,-0.16,1.21,0.45,-0.45,,,,85.7183,0.78695,-0.78695,5.39755,0.023,-0.023,3.056,0.352,-0.352,1,1,0,-1,,,-1,105438311,8.1846422794591e+17,0.0,,17.48056,,0.055,0.031,0.09,0.21,0.1,0.095,,1.58,0.27,0.45,,0.78695,0.023,0.352,-13.814203833933828,K,0.0, III,10.0,K0  III
1122,HIP 66074 b,b,HIP 66074,,HIP 66074,TIC 298130822,Gaia-3,0.799,0.035,-0.035,12.9,,,1589.14204,635.65681,-635.65681,1.15,,,5.0,2.0,-2.0,Mass,0.948,0.004,-0.004,310.9,21.7,-17.7,,7.9,4.9,-4.1,0.12,0.05,-0.05,[Fe/H],-0.818,0.017,-0.017,4300.0,60.0,-60.0,0.69,0.01,-0.01,0.71,0.03,-0.02,1.8,0.6,-0.6,,,,35.4438,0.0261,-0.026,10.25,0.03,-0.03,7.182,0.016,-0.016,1,1,0,-1,,,-1,298130822,,0.035,,635.65681,,2.0,0.004,21.7,4.9,0.05,0.017,60.0,0.01,0.03,0.6,,0.0261,0.03,0.016,-15.645137289796644,,,,,
1123,KMT-2019-BLG-0298L b,b,KMT-2019-BLG-0298L,,,,,5.67,2.7,-2.7,13.4,,,575.26942,305.11527,-305.11527,1.2,,,1.81,0.96,-0.96,Mass,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.37,-0.37,,,,,,,6710.0,1390.0,-1390.0,,,,,,,1,1,0,-1,,,-1,-1,,2.7,,305.11527,,0.96,,,,,,,,0.37,,,1390.0,,,,,,,,
1124,HATS-28 b,b,HATS-28,,,TIC 6663331,Gaia DR2 6661242835829891584,0.04131,0.00053,-0.00053,13.384,0.785,-0.785,213.58176,27.65121,-27.65121,1.194,0.07,-0.07,0.672,0.087,-0.087,Mass,0.202,,,3.1810781,3.9e-06,-3.9e-06,G,6.2,2.8,-2.8,0.01,0.06,-0.06,[Fe/H],-0.157,0.049,-0.056,5498.0,84.0,-84.0,0.92,0.04,-0.04,0.93,0.04,-0.04,2.6,1.0,-1.0,,,,535.383,7.926,-7.703,13.981,0.092,-0.092,12.086,0.029,-0.029,1,1,0,-1,,,-1,6663331,6.661242835829891e+18,0.00053,0.785,27.65121,0.07,0.087,,3.9e-06,2.8,0.06,0.056,84.0,0.04,0.04,1.0,,7.926,0.092,0.029,-17.34238588909205,G,,,,G
