hostname,KOI,Prot,e_Prot,db
Kepler-567,477,25.278,0.185,mcq13
Kepler-1139,2202,26.893,0.058,mcq13
Kepler-204,661,16.934,1.627,mcq13
Kepler-161,457,27.885,0.317,mcq13
Kepler-662,750,12.636,0.004,mcq13
Kepler-1308,2662,33.669,0.1,mcq13
Kepler-821,1337,31.253,0.031,mcq13
Kepler-404,2768,22.963,0.956,mcq13
Kepler-853,1445,5.269,0.032,mcq13
Kepler-1825,2325,29.806,0.058,mcq13
Kepler-519,306,17.825,0.023,mcq13
Kepler-1769,1808,8.249,0.104,mcq13
Kepler-735,942,31.651,0.581,mcq13
Kepler-1726,704,20.912,0.087,mcq13
Kepler-1074,2057,30.114,0.02,mcq13
Kepler-1045,2000,21.47,0.197,mcq13
Kepler-786,1199,34.257,0.529,mcq13
Kepler-1905,3095,19.213,0.164,mcq13
Kepler-50,262,7.553,0.755,mcq13
Kepler-1091,2095,14.776,0.049,mcq13
Kepler-1713,269,5.274,0.033,mcq13
Kepler-1304,2652,32.928,0.052,mcq13
Kepler-1121,2149,7.425,0.128,mcq13
Kepler-1128,2166,19.873,0.106,mcq13
Kepler-535,355,10.394,1.346,mcq13
Kepler-632,640,37.415,4.997,mcq13
Kepler-57,1270,33.307,3.532,mcq13
Kepler-378,2287,38.637,0.75,mcq13
Kepler-461,49,8.552,0.005,mcq13
Kepler-1185,2311,12.734,0.004,mcq13
Kepler-568,478,34.192,0.253,mcq13
Kepler-63,63,5.407,0.001,mcq13
Kepler-1017,1923,31.835,4.3,mcq13
Kepler-45,254,15.805,0.002,mcq13
Kepler-964,1825,10.187,0.003,mcq13
Kepler-1324,2719,12.689,0.001,mcq13
Kepler-1055,2017,11.823,0.006,mcq13
Kepler-809,1302,29.587,0.217,mcq13
Kepler-415,1194,23.126,0.074,mcq13
Kepler-1071,2048,16.887,0.01,mcq13
Kepler-367,2173,17.068,0.014,mcq13
Kepler-779,1146,25.306,0.026,mcq13
Kepler-1848,2522,38.039,0.6,mcq13
Kepler-1809,2219,42.239,6.896,mcq13
Kepler-969,1837,18.125,0.006,mcq13
Kepler-1220,2392,15.346,0.006,mcq13
Kepler-862,1491,26.656,0.347,mcq13
Kepler-1001,1889,19.836,0.034,mcq13
Kepler-1214,2376,36.373,4.218,mcq13
Kepler-1059,2021,19.167,0.021,mcq13
Kepler-146,386,13.813,0.423,mcq13
Kepler-493,208,3.054,0.001,mcq13
Kepler-518,304,16.503,0.286,mcq13
Kepler-28,870,17.951,0.016,mcq13
Kepler-1002,1890,6.398,0.002,mcq13
Kepler-1873,2735,28.414,0.074,mcq13
Kepler-246,874,23.175,0.076,mcq13
Kepler-992,1877,25.953,0.023,mcq13
Kepler-1111,2129,19.244,3.149,mcq13
Kepler-1273,2544,17.32,0.015,mcq13
Kepler-43,135,12.851,0.053,mcq13
Kepler-1423,3071,28.856,0.385,mcq13
Kepler-1131,2171,11.222,0.021,mcq13
Kepler-808,1300,38.284,4.447,mcq13
Kepler-884,1531,22.986,0.026,mcq13
Kepler-1831,2361,20.219,0.973,mcq13
Kepler-1797,2125,16.279,0.058,mcq13
Kepler-1019,1937,22.829,0.026,mcq13
Kepler-151,413,22.801,0.036,mcq13
Kepler-1329,2736,24.094,0.027,mcq13
Kepler-709,867,23.065,0.01,mcq13
Kepler-1741,1201,29.788,0.119,mcq13
Kepler-955,1801,7.552,0.001,mcq13
Kepler-1341,2762,44.549,5.433,mcq13
Kepler-532,346,15.148,0.022,mcq13
Kepler-1164,2261,11.367,0.002,mcq13
Kepler-705,854,20.206,0.003,mcq13
Kepler-1858,2553,31.269,0.091,mcq13
Kepler-484,180,15.757,0.011,mcq13
Kepler-629,632,22.412,0.171,mcq13
Kepler-534,354,13.112,2.336,mcq13
