pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmax.1,pl_rade,pl_radeerr1,pl_radeerr2,pl_rade.1,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_radj.1,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccen.1,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,st_spectype,st_age,st_ageerr1,st_ageerr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_teff,st_tefferr1,st_tefferr2,st_teff.1,st_rad,st_raderr1,st_raderr2,st_rad.1,st_mass,st_masserr1,st_masserr2,st_mass.1,st_vsin,st_vsinerr1,st_vsinerr2,st_vsin.1,st_rotp,st_rotperr1,st_rotperr2,st_rotp.1,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_snum.1,sy_pnum.1,sy_mnum.1,KIC,koi_name,kepler_name,KOI,TIC,GAIA
EPIC 249893012 b,b,EPIC 249893012,,,TIC 432254760,Gaia DR2 6259263137059042048,1,3,0,1,0,0,1,0,0,0,0,0,0,0.047,0.005,-0.007,0.047,1.95,0.09,-0.08,1.95,8.75,1.09,-1.08,0.174,0.008,-0.007,0.174,0.02753,0.00343,-0.0034,Mass,0.06,0.08,-0.04,0.06,3.5951,0.0003,-0.0003,86.14,2.6,-3.5,G8 IV/V,9.0,0.5,-0.6,0.2,0.05,-0.05,[Fe/H],0.356,0.008,-0.008,5430.0,85.0,-85.0,5430.0,1.71,0.04,-0.04,1.71,1.05,0.05,-0.05,1.05,2.1,0.5,-0.5,2.1,41.0,10.0,-10.0,41.0,321.296,4.189,-4.085,11.429,0.022,-0.022,9.714,0.023,-0.023,1,3,0,-1,,,-1,432254760,6.259263137059042e+18
AU Mic b,b,AU Mic,HD 197481,HIP 102409,TIC 441420236,Gaia DR2 6794047652729201024,1,3,0,1,0,0,1,0,0,0,0,0,0,0.0649,0.0012,-0.0012,0.0649,3.957,0.146,-0.146,3.957,20.12,1.57,-1.72,0.353,0.013,-0.013,0.353,0.0633,0.00494,-0.00541,Mass,0.00577,0.00101,-0.00101,0.00577,8.46308,6e-05,-6e-05,89.579,0.376,-0.376,M1,0.02,0.003,-0.002,0.23,0.24,-0.3,[Fe/H],-1.038,0.049,-0.049,3678.0,90.0,-88.0,3678.0,0.74,0.02,-0.02,0.74,0.51,0.03,-0.03,0.51,8.5,0.2,-0.2,8.5,4.86,0.0,-0.0,4.86,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,1,3,0,-1,,,-1,441420236,6.794047652729201e+18
TOI-4438 b,b,TOI-4438,,,TIC 22233480,Gaia DR2 4606416269652179328,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0534,0.0037,-0.0037,0.0534,2.52,0.13,-0.13,2.52,5.4,1.1,-1.1,0.225,0.012,-0.012,0.225,0.01699,0.00346,-0.00346,Mass,0.14,0.09,-0.09,0.14,7.44628,9e-06,-9e-06,89.34,0.39,-0.21,M3.5 V,5.1,2.8,-2.8,-0.19,0.05,-0.05,[Fe/H],-1.768,0.002,-0.002,3422.0,81.0,-81.0,3422.0,0.37,0.02,-0.02,0.37,0.37,0.02,-0.02,0.37,2.0,,,2.0,68.0,6.0,-6.0,68.0,30.0346,0.0233,-0.0233,13.69,0.045,-0.045,8.869,0.018,-0.018,1,1,0,-1,,,-1,22233480,4.6064162696521795e+18
K2-124 b,b,K2-124,,,TIC 197221381,Gaia DR2 686230534318440960,1,1,0,0,0,0,1,0,0,0,0,0,0,0.049,0.002,-0.002,0.049,2.9,0.1,-0.1,2.9,8.75,,,0.259,0.009,-0.009,0.259,0.0275,,,M-R relationship,0.08,0.15519,-0.06663,0.08,6.413651,3.6e-05,-3.1e-05,89.03,0.32,-0.27,,,,,0.023,0.061,-0.106,[Fe/H],-1.659,0.094,-0.121,3570.0,63.0,-70.0,3570.0,0.39,0.02,-0.01,0.39,0.39,0.01,-0.04,0.39,,,,,,,,,140.385,1.32,-1.296,16.692,0.183,-0.183,11.975,0.018,-0.018,1,1,0,-1,,,-1,197221381,6.86230534318441e+17
K2-133 c,c,K2-133,,,TIC 150096001,Gaia DR2 148080473682357376,1,4,0,0,0,0,1,0,0,0,0,0,0,0.04341,0.00034,-0.00035,0.04341,1.603,0.09,-0.088,1.603,3.2,,,0.143,0.008,-0.008,0.143,0.0101,,,M-R relationship,,,,,4.86784,0.00012,-0.00012,88.21,0.11,-0.08,M1.5 V,,,,,,,,-1.479,0.017,-0.017,3655.0,80.0,-80.0,3655.0,0.46,0.02,-0.02,0.46,0.46,0.01,-0.01,0.46,,,,,,,,,75.1703,0.2012,-0.2012,14.073,0.014,-0.014,10.279,0.018,-0.018,1,4,0,-1,,,-1,150096001,1.4808047368235738e+17
K2-133 e,e,K2-133,,,TIC 150096001,Gaia DR2 148080473682357376,1,4,0,0,0,0,1,0,0,0,0,0,0,0.1346,0.0011,-0.0011,0.1346,1.73,0.14,-0.13,1.73,3.64,,,0.154,0.012,-0.012,0.154,0.0115,,,M-R relationship,,,,,26.5841,0.0018,-0.0017,89.164,0.012,-0.01,M1.5 V,,,,,,,,-1.479,0.017,-0.017,3655.0,80.0,-80.0,3655.0,0.46,0.02,-0.02,0.46,0.46,0.01,-0.01,0.46,,,,,,,,,75.1703,0.2012,-0.2012,14.073,0.014,-0.014,10.279,0.018,-0.018,1,4,0,-1,,,-1,150096001,1.4808047368235738e+17
HATS-12 b,b,HATS-12,,,TIC 11270200,Gaia DR2 4083840142695803520,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0441,0.0005,-0.0005,0.0441,7.76,0.47,-0.47,7.76,759.6137,27.65121,-27.65121,0.692,0.042,-0.042,0.692,2.39,0.087,-0.087,Mass,0.085,,,0.085,3.142702,5.3e-05,-5.3e-05,82.27,0.64,-0.64,F,2.36,0.31,-0.31,-0.1,0.05,-0.05,[Fe/H],0.863,0.081,-0.1,6357.0,91.0,-91.0,6357.0,1.17,0.07,-0.07,1.17,1.16,0.04,-0.04,1.16,6.57,0.5,-0.5,6.57,,,,,746.138,,,12.831,0.057,-0.057,11.391,0.023,-0.023,1,1,0,-1,,,-1,11270200,4.0838401426958034e+18
K2-166 b,b,K2-166,,,TIC 377171980,Gaia DR2 3701015375282968064,1,2,0,0,0,0,1,0,0,0,0,0,0,0.0858,0.001,-0.0009,0.0858,2.19,0.2,-0.19,2.19,5.43,,,0.195,0.018,-0.017,0.195,0.0171,,,M-R relationship,,,,,8.52695,0.00362,-0.0037,87.429,1.85,-3.897,,,,,0.09,0.06,-0.06,[Fe/H],0.458,0.012,-0.013,5960.0,52.0,-53.0,5960.0,1.61,0.04,-0.04,1.61,1.16,0.05,-0.03,1.16,,,,,,,,,476.882,9.692,-9.321,12.081,0.046,-0.046,10.637,0.022,-0.022,1,2,0,-1,,,-1,377171980,3.701015375282968e+18
K2-18 c,c,K2-18,,,TIC 388804061,Gaia DR2 3910747531814692736,1,2,0,1,0,0,0,0,0,0,0,0,0,0.06,0.003,-0.003,0.06,2.65,,,2.65,7.51,1.33,-1.33,0.236,,,0.236,0.02363,0.00418,-0.00418,Msini,0.47,,,0.47,8.962,0.008,-0.008,,,,M2.5 V,,,,0.09,0.09,-0.09,[Fe/H],-1.597,0.035,-0.038,3457.0,39.0,-39.0,3457.0,0.41,0.04,-0.04,0.41,0.36,0.05,-0.05,0.36,,,,,38.6,0.5,-0.5,38.6,38.0266,0.07955,-0.07955,13.477,0.042,-0.042,8.899,0.019,-0.019,1,2,0,-1,,,-1,388804061,3.910747531814693e+18
K2-181 b,b,K2-181,,,TIC 366528389,Gaia DR2 600874445926411264,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0706,0.001,-0.001,0.0706,2.84,0.2,-0.2,2.84,8.45,,,0.253,0.018,-0.018,0.253,0.0266,,,M-R relationship,,,,,6.894256,0.000704,-0.000722,88.616,0.983,-1.808,,,,,0.23,0.06,-0.06,[Fe/H],-0.013,0.014,-0.022,5608.0,91.0,-91.0,5608.0,1.07,0.02,-0.02,1.07,0.99,0.04,-0.04,0.99,,,,,,,,,360.911,5.351,-5.201,12.669,0.103,-0.103,11.026,0.021,-0.021,1,1,0,-1,,,-1,366528389,6.008744459264113e+17
K2-182 b,b,K2-182,,,TIC 366631954,Gaia DR2 601480723509077632,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0526,0.0003,-0.0003,0.0526,2.69,0.07,-0.05,2.69,20.0,5.0,-5.0,0.24,0.006,-0.004,0.24,0.06293,0.01573,-0.01573,Mass,0.04,0.19,-0.03,0.04,4.7369683,2.3e-06,-2.3e-06,89.4,0.6,-0.6,,2.07,2.14,-1.36,0.12,0.06,-0.06,[Fe/H],-0.408,0.015,-0.014,5170.0,100.0,-100.0,5170.0,0.79,0.01,-0.01,0.79,0.86,0.02,-0.02,0.86,,,,,,,,,154.83,1.256,-1.236,11.833,0.069,-0.069,9.913,0.023,-0.023,1,1,0,-1,,,-1,366631954,6.014807235090776e+17
K2-183 b,b,K2-183,,,TIC 60256211,Gaia DR2 652007410271734912,1,3,0,0,0,0,1,0,0,0,0,0,0,,,,,1.1,0.1,-0.08,1.1,1.37,,,0.098,0.009,-0.007,0.098,0.0043,,,M-R relationship,,,,,0.469285,6.4e-05,-6.4e-05,90.1,20.0,-10.0,,,,,0.09,0.08,-0.08,[Fe/H],-0.138,0.008,-0.009,5482.0,50.0,-50.0,5482.0,0.87,0.04,-0.04,0.87,0.94,0.02,-0.02,0.94,,,,,,,,,329.041,4.293,-4.185,12.867,0.08,-0.08,11.021,0.02,-0.02,1,3,0,-1,,,-1,60256211,6.520074102717349e+17
K2-19 b,b,K2-19,,,TIC 281885301,Gaia DR2 3798833775141351552,1,3,0,1,0,0,1,0,0,0,0,0,0,0.074,0.0012,-0.0012,0.074,7.0,0.2,-0.2,7.0,32.4,1.7,-1.7,0.624,0.018,-0.018,0.624,0.10194,0.00535,-0.00535,Mass,0.2,0.03,-0.03,0.2,7.9222,0.0001,-0.0001,91.5,0.1,-0.1,G9 V,8.0,,,0.06,0.05,-0.05,[Fe/H],-0.292,0.019,-0.021,5322.0,100.0,-100.0,5322.0,0.82,0.03,-0.03,0.82,0.88,0.03,-0.03,0.88,3.0,0.5,-0.5,3.0,20.54,0.3,-0.3,20.54,289.827,5.68,-5.469,13.024,0.092,-0.092,11.161,0.026,-0.026,1,3,0,-1,,,-1,281885301,3.7988337751413514e+18
HIP 116454 b,b,HIP 116454,,HIP 116454,TIC 422618449,Gaia DR2 2645940376800212096,2,1,0,1,0,0,1,0,0,0,0,0,0,0.0792,0.0011,-0.001,0.0792,2.469,0.1,-0.091,2.469,9.7,1.2,-1.2,0.22,0.009,-0.008,0.22,0.03052,0.00378,-0.00378,Mass,0.215,0.056,-0.094,0.215,9.1004157,4.1e-06,-4.5e-06,88.91,0.68,-0.45,K1,5.5,5.0,-3.9,0.0,0.045,-0.039,[Fe/H],-0.473,0.013,-0.013,5048.0,79.0,-78.0,5048.0,0.76,0.02,-0.02,0.76,0.8,0.03,-0.03,0.8,2.0,,,2.0,,,,,62.4491,0.1831,-0.182,10.19,0.03,-0.03,8.029,0.021,-0.021,2,1,0,-1,,,-1,422618449,2.645940376800212e+18
HD 99706 c,c,HD 99706,HD 99706,HIP 55994,TIC 148680230,Gaia DR2 784227772318969472,1,2,0,1,0,0,0,0,0,0,0,0,0,,,,,12.8,,,12.8,1808.4527,454.4969,-305.1168,1.14,,,1.14,5.69,1.43,-0.96,Msini,0.411,0.231,-0.178,0.411,1278.0,151.0,-198.0,,,,K0,2.1,0.4,-0.4,0.02,0.03,-0.03,[Fe/H],1.302,0.004,-0.005,4862.0,25.0,-25.0,4862.0,5.4,0.1,-0.1,5.4,1.72,0.12,-0.12,1.72,0.89,0.5,-0.5,0.89,,,,,146.6,1.122,-1.122,7.65,0.03,-0.03,5.335,0.016,-0.016,1,2,0,-1,,,-1,148680230,7.842277723189695e+17
HD 64121 b,b,HD 64121,HD 64121,,TIC 264770836,Gaia DR2 5488303966125344512,1,1,0,1,0,0,0,0,0,0,0,0,0,1.51,0.006,-0.006,1.51,13.2,,,13.2,813.64072,60.3874,-60.3874,1.18,,,1.18,2.56,0.19,-0.19,Msini,0.11,0.07,-0.07,0.11,623.0,3.4,-3.4,,,,G8/K0 III,,,,-0.21,0.02,-0.02,[Fe/H],1.248,0.007,-0.007,5078.0,22.0,-22.0,5078.0,5.44,0.07,-0.07,5.44,1.64,0.06,-0.06,1.64,,,,,,,,,129.966,0.487,-0.487,7.43,0.03,-0.03,5.244,0.021,-0.021,1,1,0,-1,,,-1,264770836,5.488303966125345e+18
HAT-P-53 b,b,HAT-P-53,,,TIC 189380158,Gaia DR2 323386882492982144,1,1,0,1,0,0,1,0,0,0,0,0,0,0.03159,0.00042,-0.00042,0.03159,14.773,1.02,-1.02,14.773,471.65972,17.79848,-17.79848,1.318,0.091,-0.091,1.318,1.484,0.056,-0.056,Mass,0.134,,,0.134,1.9616241,3.9e-06,-3.9e-06,86.2,1.5,-1.5,,4.67,1.45,-0.83,0.0,0.08,-0.08,[Fe/H],0.217,0.059,-0.05,5956.0,50.0,-50.0,5956.0,1.21,0.08,-0.06,1.21,1.09,0.04,-0.04,1.09,4.1,0.5,-0.5,4.1,,,,,666.802,15.276,-14.619,13.78,0.126,-0.126,12.1,0.019,-0.019,1,1,0,-1,,,-1,189380158,3.2338688249298214e+17
KELT-12 b,b,KELT-12,,,TIC 116242971,Gaia DR2 4608935250790855296,1,1,0,1,0,0,1,0,0,0,0,0,0,0.06708,0.00097,-0.0013,0.06708,19.952,1.906,-1.793,19.952,301.9385,44.4962,-44.4962,1.78,0.17,-0.16,1.78,0.95,0.14,-0.14,Mass,0.0,,,0.0,5.031623,3.2e-05,-3.1e-05,84.47,1.1,-0.95,,2.2,0.1,-0.1,0.19,0.084,-0.085,[Fe/H],0.892,0.062,-0.066,6279.0,51.0,-51.0,6279.0,2.37,0.17,-0.17,2.37,1.59,0.07,-0.09,1.59,,,,,,,,,368.03,3.157,-3.106,10.585,0.006,-0.006,9.362001,0.017,-0.017,1,1,0,-1,,,-1,116242971,4.608935250790855e+18
NGTS-1 b,b,NGTS-1,,,TIC 192826603,Gaia DR2 4821739369794767744,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0326,0.0047,-0.0045,0.0326,14.908,6.837,-3.699,14.908,258.07796,20.97678,-23.83725,1.33,0.61,-0.33,1.33,0.812,0.066,-0.075,Mass,0.016,0.023,-0.012,0.016,2.647298,2e-05,-2e-05,85.27,0.61,-0.73,M0.5,,,,0.0,,,[M/H],-1.153,0.005,-0.006,3916.0,71.0,-63.0,3916.0,0.57,0.08,-0.08,0.57,0.62,0.02,-0.06,0.62,1.0,,,1.0,,,,,218.121,1.037,-1.037,15.667,0.137,-0.137,11.936,0.027,-0.027,1,1,0,-1,,,-1,192826603,4.821739369794768e+18
NGTS-21 b,b,NGTS-21,,,TIC 441422655,Gaia DR2 6779308394419726848,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0236,0.0005,-0.0005,0.0236,14.908,0.336,-0.336,14.908,750.07504,66.74397,-66.74397,1.33,0.03,-0.03,1.33,2.36,0.21,-0.21,Mass,0.0,,,0.0,1.5433897,1.6e-06,-1.6e-06,83.85,0.44,-0.44,K3 V,10.02,3.29,-7.3,-0.26,0.07,-0.07,[Fe/H],-0.539,,,4660.0,41.0,-41.0,4660.0,0.86,0.04,-0.04,0.86,0.72,0.04,-0.04,0.72,,,,,17.89,0.08,-0.08,17.89,592.891,15.995,-15.19,15.506,0.103,-0.103,12.951,0.029,-0.029,1,1,0,-1,,,-1,441422655,6.779308394419726e+18
TOI-260 b,b,TOI-260,,,TIC 37749396,Gaia DR2 2428162410789155328,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0943,0.0016,-0.0016,0.0943,1.71,0.08,-0.08,1.71,4.23,1.6,-1.6,0.153,0.007,-0.007,0.153,0.01331,0.00503,-0.00503,Mass,0.0,,,0.0,13.475853,1.3e-05,-1.1e-05,88.84,0.17,-0.17,K8 V,15.9,2.8,-5.5,-0.47,0.03,-0.03,[Fe/H],0.087,0.003,-0.003,4026.0,14.0,-14.0,4026.0,0.61,0.01,-0.01,0.61,0.62,0.03,-0.03,0.62,,,,,31.0,6.0,-6.0,31.0,20.1852,0.0232,-0.0231,9.9,0.03,-0.03,6.549,0.021,-0.021,1,1,0,-1,,,-1,37749396,2.4281624107891553e+18
NGTS-10 b,b,NGTS-10,,,TIC 37348844,Gaia DR2 2911987212510959232,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0143,0.001,-0.001,0.0143,13.507,1.311,-0.93,13.507,687.14846,29.24036,-34.00781,1.205,0.117,-0.083,1.205,2.162,0.092,-0.107,Mass,0.0,,,0.0,0.7668944,3e-07,-3e-07,,,,K5 V,10.4,2.5,-2.5,-0.02,0.12,-0.12,[M/H],-0.757,0.068,-0.081,4600.0,150.0,-150.0,4600.0,0.7,0.04,-0.04,0.7,0.7,0.04,-0.04,0.7,4.0,0.6,-0.6,4.0,17.29,0.01,-0.01,17.29,324.6986504,27.5222874,-27.5222874,14.506,0.114,-0.114,11.728,0.025,-0.025,1,1,0,-1,,,-1,37348844,2.911987212510959e+18
XO-6 b,b,XO-6,,,TIC 138168780,Gaia DR2 1114308481600798336,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0815,0.0077,-0.0077,0.0815,23.203,2.466,-2.466,23.203,1398.452,,,2.07,0.22,-0.22,2.07,4.4,,,Mass,0.0,,,0.0,3.7650007,8.1e-06,-8.1e-06,86.0,0.2,-0.2,F5,1.88,0.9,-0.2,-0.07,0.1,-0.1,[Fe/H],0.536,0.006,-0.006,6720.0,100.0,-100.0,6720.0,1.93,0.18,-0.18,1.93,1.47,0.06,-0.06,1.47,48.0,3.0,-3.0,48.0,,,,,235.479,2.443,-2.393,10.247,0.004,-0.004,9.246,0.02,-0.02,1,1,0,-1,,,-1,138168780,1.1143084816007983e+18
TOI-4137 b,b,TOI-4137,,,TIC 417646390,Gaia DR2 497750842338402560,1,1,0,1,0,0,1,0,0,0,0,0,0,0.05222,0.00089,-0.00096,0.05222,13.574,0.448,-0.437,13.574,457.67291,54.03083,-47.67426,1.211,0.04,-0.039,1.211,1.44,0.17,-0.15,Mass,0.0,0.048,-0.052,0.0,3.8016122,6.5e-06,-6.5e-06,85.7,0.4,-0.4,,2.1,1.3,-1.0,0.182,0.083,-0.085,[Fe/H],0.439,0.03,-0.028,6202.0,94.0,-90.0,6202.0,1.44,0.04,-0.04,1.44,1.31,0.07,-0.07,1.31,,,,,,,,,334.993,3.313,-3.25,11.31,0.009,-0.009,10.004,0.022,-0.022,1,1,0,-1,,,-1,417646390,4.9775084233840256e+17
NGTS-30 b,b,NGTS-30,,,TIC 322807371,Gaia DR2 3533836281547278848,1,1,0,1,0,0,1,0,0,0,0,0,0,0.408,0.019,-0.019,0.408,10.402,0.359,-0.359,10.402,305.11527,17.79839,-17.79839,0.928,0.032,-0.032,0.928,0.96,0.056,-0.056,Mass,0.294,0.014,-0.01,0.294,98.29838,0.0001,-9e-05,89.483,0.028,-0.028,,1.1,0.4,-0.4,-0.03,0.08,-0.08,[Fe/H],-0.187,0.016,-0.025,5455.0,80.0,-80.0,5455.0,0.91,0.03,-0.03,0.91,0.94,0.06,-0.06,0.94,3.5,0.8,-0.8,3.5,,,,,238.377,2.438,-2.389,12.537,0.214,-0.214,10.501,0.022,-0.022,1,1,0,-1,,,-1,322807371,3.533836281547279e+18
Qatar-10 b,b,Qatar-10,,,TIC 229791084,Gaia DR2 2262322556576778752,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0286,0.0006,-0.0006,0.0286,17.295,0.448,-0.448,17.295,233.92288,28.6047,-28.6047,1.543,0.04,-0.04,1.543,0.736,0.09,-0.09,Mass,0.0,,,0.0,1.645321,1e-05,-1e-05,85.87,0.96,-0.96,F7 V,3.2,1.9,-1.9,0.016,0.089,-0.089,[Fe/H],0.3,0.02,-0.021,6124.0,46.0,-46.0,6124.0,1.25,0.03,-0.03,1.25,1.16,0.07,-0.07,1.16,5.9,0.5,-0.5,5.9,,,,,559.068,6.085,-5.957,12.868,0.057,-0.057,11.382,0.017,-0.017,1,1,0,-1,,,-1,229791084,2.2623225565767788e+18
WASP-162 b,b,WASP-162,,,TIC 308098254,Gaia DR2 3558354604869150208,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0871,0.0013,-0.0013,0.0871,11.209,0.56,-0.56,11.209,1652.716,63.566,-63.566,1.0,0.05,-0.05,1.0,5.2,0.2,-0.2,Mass,0.434,0.005,-0.005,0.434,9.62468,1e-05,-1e-05,89.3,0.5,-0.5,K0,12.97,2.35,-2.35,0.28,0.13,-0.13,,0.054,0.008,-0.008,5300.0,100.0,-100.0,5300.0,1.11,0.05,-0.05,1.11,0.95,0.04,-0.04,0.95,1.0,0.8,-0.8,1.0,,,,,310.841,4.122,-4.017,12.213,0.092,-0.092,10.466,0.021,-0.021,1,1,0,-1,,,-1,308098254,3.55835460486915e+18
WASP-164 b,b,WASP-164,,,TIC 237320326,Gaia DR2 6491038642006989056,1,1,0,1,0,0,1,0,0,0,0,0,0,0.02818,0.00065,-0.00072,0.02818,12.644,0.46,-0.482,12.644,676.9779,38.1396,-41.3179,1.128,0.041,-0.043,1.128,2.13,0.12,-0.13,Mass,0.0,,,0.0,1.7771255,2.8e-06,-2.8e-06,82.73,0.22,-0.21,G2 V,4.08,2.38,-2.38,-0.01,0.19,-0.2,[Fe/H],-0.067,0.008,-0.008,5806.0,190.0,-200.0,5806.0,0.93,0.03,-0.03,0.93,0.95,0.07,-0.07,0.95,,,,,,,,,327.506,4.012,-3.918,12.603,0.057,-0.057,10.959,0.021,-0.021,1,1,0,-1,,,-1,237320326,6.491038642006989e+18
K2-237 b,b,K2-237,,,TIC 16288184,Gaia DR2 6032746832450438400,1,1,0,1,0,0,1,0,0,0,0,0,0,0.03558,0.00048,-0.00065,0.03558,16.197,0.549,-0.504,16.197,433.20012,34.96112,-29.24021,1.445,0.049,-0.045,1.445,1.363,0.11,-0.092,Mass,0.042,0.034,-0.028,0.042,2.18053539,8.6e-07,-8.5e-07,88.03,1.1,-0.82,F9 V,1.02,1.6,-0.74,0.137,0.05,-0.049,[Fe/H],0.371,0.052,-0.053,6360.0,190.0,-200.0,6360.0,1.26,0.03,-0.03,1.26,1.26,0.05,-0.07,1.26,11.76,0.9,-0.9,11.76,5.07,0.02,-0.02,5.07,314.995,7.221,-6.91,11.602,0.034,-0.034,10.217,0.023,-0.023,1,1,0,-1,,,-1,16288184,6.032746832450438e+18
OGLE-2012-BLG-0724L b,b,OGLE-2012-BLG-0724L,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,1.6,0.4,-0.3,1.6,14.3,,,14.3,150.0,170.0,-83.0,1.27,,,1.27,0.47,0.54,-0.26,Mass,,,,,,,,,,,M V,,,,,,,,,,,,,,,,,,,0.29,0.33,-0.16,0.29,,,,,,,,,6700.0,1100.0,-1200.0,,,,,,,1,1,0,-1,,,-1,-1,
K2-224 b,b,K2-224,,,TIC 32425577,Gaia DR2 3578783977588991360,1,2,0,0,0,0,1,0,0,0,0,0,0,0.0516,0.0004,-0.0004,0.0516,1.56,0.16,-0.14,1.56,3.05,,,0.139,0.014,-0.012,0.139,0.00961,,,M-R relationship,,,,,4.47904,0.00116,-0.00132,87.86,1.527,-2.821,,,,,-0.19,0.06,-0.06,[Fe/H],-0.241,0.007,-0.007,5620.0,42.0,-45.0,5620.0,0.84,0.01,-0.01,0.84,0.91,0.02,-0.02,0.91,,,,,,,,,275.255,2.935,-2.874,12.7,0.08,-0.08,10.94,0.019,-0.019,1,2,0,-1,,,-1,32425577,3.5787839775889915e+18
K2-219 c,c,K2-219,,,TIC 266014079,Gaia DR2 2581741400387500544,1,3,0,0,0,0,1,0,0,0,0,0,0,,,,,1.438,0.214,-0.192,1.438,2.66,,,0.128,0.019,-0.017,0.128,0.00837,,,M-R relationship,,,,,6.66767,0.001283,-0.001569,87.269,1.983,-4.913,,,,,0.13,0.08,-0.08,[Fe/H],0.151,0.009,-0.009,5753.0,50.0,-50.0,5753.0,1.19,0.16,-0.14,1.19,1.02,0.03,-0.03,1.02,,,,,,,,,325.4,4.842,-4.705,12.09,0.034,-0.034,10.424,0.021,-0.021,1,3,0,-1,,,-1,266014079,2.5817414003875005e+18
K2-222 b,b,K2-222,,,TIC 257774438,Gaia DR2 2584093844170270720,1,1,0,1,0,0,1,0,0,0,0,0,0,0.1206,0.0029,-0.0029,0.1206,2.35,0.08,-0.07,2.35,8.7,1.7,-1.7,0.21,0.007,-0.006,0.21,0.02737,0.00535,-0.00535,Mass,0.16,,,0.16,15.38857,0.00088,-0.00088,89.12,0.55,-0.41,,7.1,1.5,-1.7,-0.315,0.06,-0.06,[Fe/H],0.139,0.004,-0.004,5942.0,119.0,-119.0,5942.0,1.11,0.03,-0.03,1.11,0.99,0.07,-0.07,0.99,,,,,,,,,101.321,0.632,-0.625,9.543,0.004,-0.004,8.105,0.017,-0.017,1,1,0,-1,,,-1,257774438,2.5840938441702707e+18
K2-223 b,b,K2-223,,,TIC 98594138,Gaia DR2 3578046995560843520,1,2,0,0,0,0,1,0,0,0,0,0,0,0.0127,0.0001,-0.0001,0.0127,0.89,0.1,-0.09,0.89,0.64,,,0.079,0.009,-0.008,0.079,0.00201,,,M-R relationship,,,,,0.50557,8.8e-05,-8.8e-05,89.7,10.0,-10.0,,,,,0.19,0.08,-0.08,[Fe/H],-0.035,0.007,-0.007,5859.0,50.0,-50.0,5859.0,1.0,0.06,-0.06,1.0,1.06,0.02,-0.02,1.06,,,,,,,,,198.604,2.567,-2.503,11.443,0.057,-0.057,9.835,0.024,-0.024,1,2,0,-1,,,-1,98594138,3.5780469955608433e+18
K2-240 c,c,K2-240,,,TIC 432247315,Gaia DR2 6257625719430982016,1,2,0,0,0,0,1,0,0,0,0,0,0,0.1159,0.002,-0.002,0.1159,1.8,0.3,-0.1,1.8,3.89,,,0.161,0.027,-0.009,0.161,0.0123,,,M-R relationship,,,,,20.523,0.001,-0.001,89.66,0.22,-0.26,M0.5 V,,,,-0.1,0.1,-0.1,[Fe/H],-1.276,0.016,-0.017,3810.0,17.0,-17.0,3810.0,0.54,0.01,-0.01,0.54,0.58,0.01,-0.01,0.58,,,,,10.8,0.1,-0.1,10.8,72.9105,0.52255,-0.52255,13.372,0.022,-0.022,9.56,0.023,-0.023,1,2,0,-1,,,-1,432247315,6.257625719430982e+18
