hostname,Prot,e_Prot,KOI,KIC,TIC,GAIA,db
Kepler-1042,20.324,0.021,1996,-1,-1,-1,mcq13
Kepler-155,26.762,0.021,438,-1,-1,-1,mcq13
Kepler-1059,19.167,0.021,2021,-1,-1,-1,mcq13
Kepler-1131,11.222,0.021,2171,-1,-1,-1,mcq13
Kepler-1295,16.526,0.022,2625,-1,-1,-1,mcq13
Kepler-532,15.148,0.022,346,-1,-1,-1,mcq13
Kepler-725,17.459,0.022,918,-1,-1,-1,mcq13
Kepler-1150,15.844,0.022,2225,-1,-1,-1,mcq13
Kepler-519,17.825,0.023,306,-1,-1,-1,mcq13
Kepler-992,25.953,0.023,1877,-1,-1,-1,mcq13
Kepler-1735,39.934,0.024,1085,-1,-1,-1,mcq13
Kepler-1788,21.966,0.024,2060,-1,-1,-1,mcq13
Kepler-231,23.397,0.024,784,-1,-1,-1,mcq13
Kepler-1129,10.658,0.024,2167,-1,-1,-1,mcq13
Kepler-1281,25.127,0.024,2580,-1,-1,-1,mcq13
Kepler-543,20.312,0.024,387,-1,-1,-1,mcq13
Kepler-1067,17.422,0.024,2039,-1,-1,-1,mcq13
Kepler-195,25.828,0.024,598,-1,-1,-1,mcq13
Kepler-1178,18.165,0.025,2298,-1,-1,-1,mcq13
Kepler-934,20.232,0.025,1711,-1,-1,-1,mcq13
Kepler-1062,15.786,0.025,2031,-1,-1,-1,mcq13
Kepler-616,15.084,0.025,593,-1,-1,-1,mcq13
Kepler-1830,5.831,0.025,2358,-1,-1,-1,mcq13
Kepler-1019,22.829,0.026,1937,-1,-1,-1,mcq13
Kepler-985,18.525,0.026,1858,-1,-1,-1,mcq13
Kepler-884,22.986,0.026,1531,-1,-1,-1,mcq13
Kepler-1864,16.228,0.026,2636,-1,-1,-1,mcq13
Kepler-1669,26.839,0.026,1475,-1,-1,-1,mcq13
Kepler-779,25.306,0.026,1146,-1,-1,-1,mcq13
Kepler-898,32.049,0.027,1584,-1,-1,-1,mcq13
Kepler-1329,24.094,0.027,2736,-1,-1,-1,mcq13
Kepler-1153,16.185,0.027,2242,-1,-1,-1,mcq13
Kepler-1014,26.377,0.027,1920,-1,-1,-1,mcq13
Kepler-1749,25.488,0.028,1408,-1,-1,-1,mcq13
Kepler-353,32.402,0.028,2036,-1,-1,-1,mcq13
TOI-1227,1.663,0.028,-1,-1,360156606,-1,mar20
Kepler-753,21.721,0.028,1024,-1,-1,-1,mcq13
WASP-167,1.073,0.029,-1,-1,104024556,-1,mar20
Kepler-17,12.159,0.029,203,-1,-1,-1,mcq13
Kepler-1852,28.011,0.029,2532,-1,-1,-1,mcq13
Kepler-78,12.588,0.03,-1,8435766,-1,-1,mcq14
Kepler-400,13.409,0.03,2711,-1,-1,-1,mcq13
Kepler-75,19.375,0.03,889,-1,-1,-1,mcq13
TOI-2260,8.45,0.03,-1,-1,-1,-1,nasa
Kepler-1036,22.065,0.03,1980,-1,-1,-1,mcq13
Kepler-958,18.259,0.03,1813,-1,-1,-1,mcq13
Kepler-150,17.558,0.03,408,-1,-1,-1,mcq13
Kepler-687,23.475,0.031,811,-1,-1,-1,mcq13
Kepler-821,31.253,0.031,1337,-1,-1,-1,mcq13
Kepler-994,19.26,0.032,1880,-1,-1,-1,mcq13
Kepler-853,5.269,0.032,1445,-1,-1,-1,mcq13
Kepler-1869,14.223,0.032,2687,-1,-1,-1,mcq13
Kepler-1070,10.714,0.032,2047,-1,-1,-1,mcq13
Kepler-1337,22.36,0.033,2751,-1,-1,-1,mcq13
Kepler-1713,5.274,0.033,269,-1,-1,-1,mcq13
Kepler-1040,18.792,0.033,1989,-1,-1,-1,mcq13
Kepler-674,35.835,0.033,778,-1,-1,-1,mcq13
Kepler-1001,19.836,0.034,1889,-1,-1,-1,mcq13
Kepler-1856,23.447,0.035,2543,-1,-1,-1,mcq13
Kepler-1684,21.555,0.035,2417,-1,-1,-1,mcq13
Kepler-1682,15.527,0.035,2229,-1,-1,-1,mcq13
