2MASS,objID,KIC,Teff,Rad,Mass,LClass,Bmag,Vmag,Kmag,TIC
"14353664-2558360 ",,,4422.2,25.5,,"GIANT   ",10.402,9.107,5.847,4607
"14353211-2558514 ",,,4444.0,,,"DWARF   ",19.869,19.016,15.814,4608
"14353078-2558559 ",,,4613.0,0.612,0.73,"DWARF   ",18.042,16.76,14.172,4609
"14353012-2558571 ",,,3369.0,0.45,0.38,"DWARF   ",18.059,17.005,15.512,4610
"14354592-2559063 ",,,5416.0,0.627,0.94,"DWARF   ",17.577,17.157,15.132,4611
"14352861-2559099 ",,,3804.0,0.585,0.576,"DWARF   ",19.76,18.656,14.77,4612
"14352693-2559134 ",,,3786.0,0.896,0.58,"DWARF   ",20.682,20.373,15.619,4613
"14354893-2559173 ",,,6020.0,1.473,1.11,"DWARF   ",17.04,16.393,14.801,4614
"14353393-2559502 ",,,4181.0,0.605,0.654,"DWARF   ",17.358,15.893,12.591,4616
"14354281-2600023 ",,,3355.0,0.392,0.383,"DWARF   ",20.998,19.867,14.901,4617
"14353713-2600038 ",,,6053.0,1.974,1.13,"DWARF   ",16.562,15.999,14.215,4618
"14355177-2600042 ",,,4776.0,0.729,0.77,"DWARF   ",13.987,12.984,10.469,4619
"14352594-2600095 ",,,4488.0,0.624,0.7,"DWARF   ",19.799,19.384,16.734,4620
"14355225-2600120 ",,,4387.0,0.714,0.69,"DWARF   ",20.537,19.336,15.046,4621
"14354197-2600125 ",,,6565.0,1.122,1.36,"DWARF   ",16.967,16.322,15.495,4622
"14352958-2600174 ",,,4324.0,0.54,0.68,"DWARF   ",19.782,19.005,15.445,4623
"14354527-2600192 ",,,5711.0,1.436,1.02,"DWARF   ",16.335,15.607,13.87,4624
"14353628-2600202 ",,,3908.0,0.655,0.631,"DWARF   ",18.408,17.291,13.766,4625
"14352468-2600204 ",,,5908.0,1.356,1.07,"DWARF   ",17.577,16.961,15.221,4626
"14352614-2600238 ",,,5520.0,1.046,0.97,"DWARF   ",17.499,17.068,14.924,4627
"14354151-2600248 ",,,6117.0,,,"DWARF   ",17.729,17.77,15.043,4628
"14354874-2600252 ",,,5750.0,1.406,1.03,"DWARF   ",16.426,15.81,13.907,4629
"14353416-2600304 ",,,6084.0,1.06,1.14,"DWARF   ",16.158,15.582,13.868,4630
"14355079-2600319 ",,,5372.0,0.868,0.93,"DWARF   ",14.39,13.596,11.588,4631
