2MASS,objID,KIC,Teff,Rad,Mass,LClass,Bmag,Vmag,Kmag,TIC
"14355595-2545254 ",,,5386.0,0.962,0.93,"DWARF   ",15.566,14.899,12.733,9716
"14362684-2545244 ",,,5933.0,1.496,1.08,"DWARF   ",17.588,16.974,15.127,9717
"14362128-2545155 ",,,4512.0,0.534,0.71,"DWARF   ",18.787,18.031,14.983,9719
"14361787-2545152 ",,,4879.0,6.008,,"GIANT   ",15.744,14.794,12.111,9720
"14362517-2545029 ",,,5584.0,0.537,0.99,"DWARF   ",17.998,17.429,15.6,9721
"14360632-2544542 ",,,5708.0,0.874,1.02,"DWARF   ",14.196,13.666,11.777,9722
"14362626-2544520 ",,,5752.0,1.21,1.03,"DWARF   ",15.782,15.122,13.324,9723
"14360645-2544477 ",,,5610.0,0.808,0.99,"DWARF   ",,18.06,14.805,9724
"14360244-2544472 ",,,6206.0,1.471,1.19,"DWARF   ",16.912,16.322,14.762,9725
"14361332-2544432 ",,,5873.0,1.626,1.06,"DWARF   ",16.936,15.996,14.307,9726
"14361455-2544278 ",,,5990.0,1.343,1.1,"DWARF   ",15.669,15.03,13.335,9727
"14360593-2544242 ",,,5614.0,0.705,0.99,"DWARF   ",18.506,17.868,16.027,9728
"14362438-2544201 ",,,4068.0,0.889,0.64,"DWARF   ",18.917,17.629,14.252,9729
"14361631-2544200 ",,,5457.0,1.432,0.95,"DWARF   ",17.448,16.595,14.632,9730
"14361571-2544095 ",,,4963.0,1.472,0.82,"DWARF   ",18.553,17.909,15.501,9731
"14361798-2544064 ",,,5619.0,0.9,0.99,"DWARF   ",14.887,14.215,12.262,9732
"14361170-2543537 ",,,5362.0,1.45,0.93,"DWARF   ",18.27,17.847,15.214,9733
"14360302-2543536 ",,,3844.0,0.567,0.56,"DWARF   ",19.347,18.064,14.257,9734
"14360762-2543447 ",,,4965.0,0.595,0.82,"DWARF   ",18.389,17.664,15.276,9736
"14355917-2543431 ",,,5509.0,1.456,0.97,"DWARF   ",17.062,16.361,14.369,9737
"14362293-2543305 ",,,5836.0,1.067,1.05,"DWARF   ",16.602,16.15,14.174,9738
"14360219-2543257 ",,,5364.0,1.017,0.93,"DWARF   ",18.708,18.386,17.077,9739
"14361514-2543222 ",,,5596.0,1.091,0.99,"DWARF   ",17.904,17.202,15.254,9740
"14361199-2543203 ",,,5375.0,2.425,0.93,"DWARF   ",17.205,16.436,14.179,9741
"14360695-2543092 ",,,4976.0,0.544,0.82,"DWARF   ",18.467,17.821,15.379,9743
"14360393-2542521 ",,,5821.0,1.013,1.05,"DWARF   ",17.585,16.791,15.058,9744
"14360229-2542513 ",,,3546.0,0.505,0.503,"DWARF   ",20.539,19.269,14.572,9745
"14360003-2542488 ",,,,,,"GIANT   ",18.563,17.659,12.746,9746
"14362338-2542469 ",,,3642.0,0.969,0.53,"DWARF   ",20.247,19.042,14.311,9747
"14361441-2542436 ",,,4012.0,0.586,0.63,"DWARF   ",20.288,19.335,15.305,9748
"14355791-2542425 ",,,3708.0,1.355,,"GIANT   ",20.901,19.975,15.413,9749
"14355563-2542243 ",,,4686.0,1.027,0.75,"DWARF   ",19.554,18.845,16.166,9750
"14362020-2542233 ",,,3951.0,0.652,0.628,"DWARF   ",19.205,18.106,14.54,9751
"14355610-2542228 ",,,5859.0,1.02,1.06,"DWARF   ",18.346,18.013,16.351,9752
"14360651-2542224 ",,,4410.0,0.78,0.69,"DWARF   ",19.018,17.962,14.798,9753
"14361968-2542115 ",,,4789.0,0.701,0.77,"DWARF   ",18.774,18.277,15.562,9754
"14360191-2542011 ",,,5649.0,1.245,1.0,"DWARF   ",18.515,17.91,15.621,9755
"14361299-2541303 ",,,5842.0,0.929,1.05,"DWARF   ",16.864,16.243,14.317,9758
"14355837-2541293 ",,,5954.0,1.417,1.09,"DWARF   ",17.274,16.481,15.179,9759
"14360278-2541235 ",,,5849.0,,,"DWARF   ",17.968,17.528,15.501,9760
"14361543-2541205 ",,,5780.0,0.844,1.04,"DWARF   ",17.874,17.205,15.244,9761
"14362385-2541073 ",,,5816.0,1.283,1.05,"DWARF   ",16.16,15.676,13.794,9763
"14362723-2540496 ",,,4979.0,0.682,0.82,"DWARF   ",17.749,16.672,14.355,9764
"14362193-2540474 ",,,3695.0,0.792,0.55,"DWARF   ",21.116,20.558,15.155,9765
"14362520-2540455 ",,,5820.0,0.621,1.05,"DWARF   ",17.891,17.577,15.552,9766
"14362120-2540418 ",,,3328.0,0.36,0.346,"DWARF   ",21.21,19.989,14.793,9768
"14361707-2540407 ",,,4132.0,0.466,0.65,"DWARF   ",20.081,18.96,15.679,9769
"14362384-2540385 ",,,6227.0,1.052,1.2,"DWARF   ",17.1,16.598,15.009,9770
"14362700-2540369 ",,,5414.0,1.038,0.94,"DWARF   ",18.166,17.44,15.557,9771
"14355757-2540361 ",,,5974.0,1.275,1.1,"DWARF   ",16.542,16.077,14.095,9772
"14362418-2540327 ",,,5718.0,,,"DWARF   ",18.279,17.788,15.479,9773
"14361987-2540207 ",,,4300.0,1.038,0.67,"DWARF   ",19.61,18.309,14.872,9775
"14355971-2540189 ",,,5956.0,1.595,1.09,"DWARF   ",15.055,14.477,12.771,9776
"14360490-2540173 ",,,5803.0,0.848,1.04,"DWARF   ",15.879,17.398,14.75,9777
"14360496-2540137 ",,,5373.0,0.885,0.93,"DWARF   ",16.963,16.304,14.438,9778
"14360186-2540136 ",,,5715.0,1.394,1.02,"DWARF   ",16.492,15.856,14.026,9779
"14361455-2540127 ",,,3934.0,0.425,0.61,"DWARF   ",20.805,19.572,15.487,9780
"14362220-2539519 ",,,5315.0,0.762,0.92,"DWARF   ",17.394,16.328,14.298,9781
"14362345-2539433 ",,,5514.0,1.183,0.97,"DWARF   ",,16.616,14.719,9782
"14362641-2539379 ",,,5424.0,0.834,0.94,"DWARF   ",18.084,17.587,15.259,9783
"14355769-2539361 ",,,3628.0,0.494,0.492,"DWARF   ",19.673,18.611,14.548,9784
"14362184-2539241 ",,,5442.0,0.755,0.95,"DWARF   ",17.755,16.977,15.032,9785
"14360479-2539190 ",,,4221.0,60.098,,"GIANT   ",14.938,13.517,9.9,9786
"14362495-2539179 ",,,3546.0,0.377,0.48,"DWARF   ",,20.666,15.545,9787
"14360649-2539074 ",,,4700.0,0.798,0.75,"DWARF   ",18.288,17.175,14.417,9788
"14361998-2539064 ",,,4525.0,0.686,0.71,"DWARF   ",19.283,18.247,15.094,9789
"14362339-2539046 ",,,5503.0,1.281,0.97,"DWARF   ",17.911,17.845,16.209,9790
"14360930-2538519 ",,,5739.0,1.844,1.03,"DWARF   ",17.556,16.855,14.908,9791
"14360355-2538490 ",,,5322.0,0.899,0.92,"DWARF   ",18.45,17.789,15.594,9792
"14361536-2538417 ",,,3995.0,0.932,0.62,"DWARF   ",21.016,19.554,15.619,9793
"14355804-2538221 ",,,5151.0,0.842,0.87,"DWARF   ",18.089,17.275,15.006,9794
"14361130-2538200 ",,,5049.0,0.803,0.84,"DWARF   ",17.252,16.539,14.014,9795
"14355677-2538175 ",,,5618.0,1.189,0.99,"DWARF   ",18.283,17.721,15.318,9796
"14361088-2538156 ",,,3764.0,0.757,0.57,"DWARF   ",17.345,16.458,15.781,9797
"14361000-2538146 ",,,5553.0,0.936,0.98,"DWARF   ",17.288,16.765,14.793,9798
"14361250-2538128 ",,,4102.0,0.482,0.64,"DWARF   ",20.219,19.144,15.786,9799
"14360406-2538115 ",,,5703.0,0.593,1.02,"DWARF   ",17.749,17.95,15.668,9800
"14361410-2538089 ",,,3788.0,0.533,0.58,"DWARF   ",20.873,19.816,15.641,9801
"14360120-2538071 ",,,4127.0,,,"DWARF   ",21.099,19.618,15.628,9802
"14361467-2538065 ",,,3954.0,0.628,0.62,"DWARF   ",20.752,19.778,15.967,9803
"14362075-2538009 ",,,5580.0,1.732,0.99,"DWARF   ",17.843,17.125,14.952,9804
"14361673-2537559 ",,,5753.0,1.245,1.03,"DWARF   ",16.663,16.003,14.089,9805
"14355937-2537492 ",,,3987.0,0.637,0.62,"DWARF   ",20.043,18.901,15.32,9806
"14362274-2537429 ",,,5856.0,0.662,1.06,"DWARF   ",18.336,17.676,16.656,9807
"14361338-2537424 ",,,5324.0,1.885,0.92,"DWARF   ",15.233,14.47,12.198,9808
"14361407-2537409 ",,,4297.0,0.519,0.67,"DWARF   ",19.639,18.663,15.353,9809
"14362446-2537392 ",,,5474.0,1.039,0.96,"DWARF   ",17.69,16.761,14.827,9810
"14360501-2537380 ",,,5096.0,0.738,0.86,"DWARF   ",18.758,17.971,15.9,9811
"14362627-2537325 ",,,5037.0,0.552,0.84,"DWARF   ",19.158,18.425,15.505,9812
"14360831-2537324 ",,,6131.0,1.013,1.16,"DWARF   ",17.903,17.285,15.324,9813
"14361264-2537266 ",,,3784.0,0.462,0.57,"DWARF   ",20.63,20.038,15.495,9814
"14360737-2537189 ",,,3523.0,0.531,0.528,"DWARF   ",18.865,17.492,13.018,9815
"14360956-2537168 ",,,5317.0,1.077,0.92,"DWARF   ",16.359,15.204,12.933,9816
"14355824-2537120 ",,,5749.0,1.403,1.03,"DWARF   ",17.237,16.378,14.721,9817
"14362575-2537035 ",,,3578.0,0.549,0.544,"DWARF   ",18.976,17.312,12.973,9819
"14361070-2537020 ",,,5860.0,1.704,1.06,"DWARF   ",14.513,13.94,12.1,9820
"14362044-2536490 ",,,,,,"DWARF   ",16.679,16.034,13.412,9821
"14362131-2536483 ",,,3830.0,,,"DWARF   ",21.315,20.194,15.562,9822
"14360397-2536482 ",,,5290.0,7.262,,"GIANT   ",15.99,15.213,12.885,9823
"14360057-2536459 ",,,5439.0,1.127,0.95,"DWARF   ",,17.146,15.204,9824
"14362323-2536453 ",,,3817.0,0.683,0.651,"DWARF   ",19.453,18.235,14.389,9825
"14360519-2536406 ",,,5587.0,1.031,0.99,"DWARF   ",17.777,16.641,14.853,9826
"14360201-2536405 ",,,5153.0,0.742,0.87,"DWARF   ",18.244,17.716,15.512,9827
"14362497-2536385 ",,,3582.0,0.524,0.521,"DWARF   ",19.229,17.961,13.708,9828
"14361317-2536254 ",,,4907.0,0.762,0.8,"DWARF   ",19.122,18.336,15.434,9829
"14355801-2536241 ",,,,,,"DWARF   ",20.912,19.575,15.411,9830
"14361529-2536148 ",,,3892.0,0.553,0.548,"DWARF   ",20.244,18.973,15.188,9831
"14360791-2536031 ",,,3543.0,0.41,0.402,"DWARF   ",20.363,19.01,14.529,9832
"14360105-2535532 ",,,3399.0,0.477,0.475,"DWARF   ",19.591,18.294,13.441,9833
"14362336-2535530 ",,,5181.0,2.077,,"GIANT   ",18.205,17.352,15.012,9834
"14361930-2535523 ",,,4284.0,0.712,0.67,"DWARF   ",19.358,18.194,14.85,9835
"14360168-2535373 ",,,4064.0,0.607,0.64,"DWARF   ",19.906,18.632,15.018,9836
"14355585-2535342 ",,,3925.0,0.531,0.528,"DWARF   ",19.409,18.224,14.669,9837
"14355791-2535335 ",,,5701.0,0.899,1.02,"DWARF   ",16.356,15.734,13.741,9838
"14362720-2535253 ",,,5307.0,0.701,0.91,"DWARF   ",18.277,17.854,15.45,9839
"14361316-2535198 ",,,3876.0,0.42,0.414,"DWARF   ",18.99,18.062,14.458,9840
"14360997-2535166 ",,,,,,"DWARF   ",21.382,20.195,15.5,9841
"14362675-2534541 ",,,4814.0,0.541,0.78,"DWARF   ",19.003,18.384,15.234,9842
"14355901-2534440 ",,,4057.0,0.577,0.63,"DWARF   ",20.161,19.294,15.186,9844
"14361259-2534262 ",,,5752.0,1.18,1.03,"DWARF   ",16.029,15.484,13.494,9846
"14355754-2534231 ",,,5943.0,1.144,1.09,"DWARF   ",17.933,17.563,15.773,9847
"14355835-2534222 ",,,3362.0,0.413,0.406,"DWARF   ",20.373,19.43,14.3,9848
"14361797-2534079 ",,,5828.0,0.96,1.05,"DWARF   ",15.74,15.208,13.227,9849
"14362516-2534052 ",,,5751.0,1.171,1.03,"DWARF   ",17.655,17.061,15.287,9850
"14355946-2533560 ",,,4899.0,0.54,0.8,"DWARF   ",18.943,18.25,15.955,9851
"14361799-2533332 ",,,4110.0,0.792,0.64,"DWARF   ",19.442,18.485,14.925,9852
"14362586-2533295 ",,,4761.0,1.556,,"GIANT   ",18.737,18.341,15.548,9853
"14355934-2533221 ",,,3776.0,,,"DWARF   ",20.59,19.714,15.607,9854
"14360198-2533127 ",,,4858.0,5.374,,"GIANT   ",15.688,14.645,12.005,9855
"14360906-2533013 ",,,5886.0,0.691,1.07,"DWARF   ",17.744,17.172,15.204,9857
"14362540-2532502 ",,,4239.0,0.522,0.66,"DWARF   ",19.952,18.991,15.239,9858
"14361535-2532498 ",,,7563.0,0.928,1.75,"DWARF   ",16.599,16.052,15.393,9859
"14355840-2532460 ",,,5227.0,8.242,,"GIANT   ",14.227,13.423,11.076,9860
"14361721-2532409 ",,,5791.0,0.912,1.04,"DWARF   ",16.9,16.211,14.413,9861
"14360416-2532406 ",,,5053.0,2.021,,"GIANT   ",16.902,16.102,13.738,9862
"14360425-2532342 ",,,3613.0,0.363,0.349,"DWARF   ",19.155,17.58,13.472,9863
"14355640-2532279 ",,,,,,"GIANT   ",18.557,19.921,14.997,9864
"14360490-2532256 ",,,4429.0,0.605,0.69,"DWARF   ",18.022,17.577,14.642,9865
"14360926-2532254 ",,,3658.0,0.471,0.53,"DWARF   ",,20.44,15.538,9866
"14361142-2532141 ",,,5863.0,0.707,1.06,"DWARF   ",18.065,17.721,15.105,9867
"14360319-2531583 ",,,3766.0,0.56,0.554,"DWARF   ",18.325,16.594,12.798,9868
"14362700-2531570 ",,,3865.0,0.608,0.595,"DWARF   ",19.026,17.935,14.308,9869
"14361133-2531468 ",,,3551.0,0.412,0.405,"DWARF   ",19.935,18.651,14.506,9871
"14355851-2531385 ",,,5274.0,0.742,0.9,"DWARF   ",18.595,17.978,15.619,9872
"14360541-2531333 ",,,4023.0,0.999,0.63,"DWARF   ",19.077,18.153,14.555,9874
"14360506-2531179 ",,,3461.0,0.415,0.408,"DWARF   ",17.247,16.502,14.787,9876
"14362306-2531171 ",,,5550.0,0.877,0.98,"DWARF   ",17.688,16.992,15.079,9877
"14360610-2531165 ",,,5596.0,0.826,0.99,"DWARF   ",17.276,16.226,14.534,9878
"14361316-2530592 ",,,5837.0,0.871,1.05,"DWARF   ",16.455,15.93,13.917,9879
"14362227-2530544 ",,,5372.0,0.714,0.93,"DWARF   ",18.196,17.768,15.814,9880
"14361123-2530531 ",,,4284.0,0.73,0.67,"DWARF   ",19.589,18.774,15.464,9881
"14355693-2530469 ",,,4941.0,0.713,0.81,"DWARF   ",18.364,17.688,15.396,9882
"14360416-2530443 ",,,,,,,20.018,20.615,15.664,9883
"14360154-2530354 ",,,4316.0,0.694,0.67,"DWARF   ",19.849,19.171,15.603,9885
"14362636-2530308 ",,,5161.0,1.977,,"GIANT   ",17.791,16.871,14.889,9886
"14361145-2530215 ",,,5836.0,1.057,1.05,"DWARF   ",18.054,17.717,16.159,9887
"14355808-2530161 ",,,,,,,18.216,19.961,15.049,9888
"14355705-2529566 ",,,5559.0,0.531,0.98,"DWARF   ",18.173,17.766,15.41,9889
"14355822-2529486 ",,,6206.0,1.27,1.19,"DWARF   ",16.552,16.306,14.345,9891
"14362689-2529399 ",,,4559.0,1.871,,"GIANT   ",19.272,18.399,15.337,9892
"14361386-2529371 ",,,,,,"GIANT   ",17.042,18.674,13.988,9893
"14355864-2529345 ",,,4957.0,0.563,0.82,"DWARF   ",18.649,17.893,15.538,9894
"14361498-2529293 ",,,5595.0,0.912,0.99,"DWARF   ",15.927,15.299,13.262,9895
"14361916-2529280 ",,,4000.0,0.798,0.62,"DWARF   ",18.564,17.167,13.499,9896
"14362421-2529250 ",,,5425.0,,,"DWARF   ",18.506,18.081,15.846,9897
"14361318-2529225 ",,,4410.0,0.747,0.69,"DWARF   ",20.054,18.93,15.431,9898
"14362196-2529082 ",,,5654.0,1.217,1.0,"DWARF   ",15.182,14.639,12.631,9899
"14361443-2528547 ",,,5439.0,0.729,0.95,"DWARF   ",17.098,16.413,14.272,9900
"14362680-2528303 ",,,3886.0,0.644,0.6,"DWARF   ",20.465,19.395,15.71,9901
"14360442-2528221 ",,,,,,,19.24,20.539,15.282,9902
"14355983-2528204 ",,,3926.0,0.624,0.607,"DWARF   ",19.428,18.204,14.571,9903
"14362565-2528042 ",,,6125.0,0.948,1.16,"DWARF   ",15.615,15.282,13.474,9904
"14360351-2528017 ",,,6387.0,1.886,1.28,"DWARF   ",13.712,13.351,11.811,9905
"14361929-2527439 ",,,5123.0,0.909,0.86,"DWARF   ",16.942,16.18,13.84,9906
"14361136-2527391 ",,,4710.0,0.708,0.75,"DWARF   ",18.257,17.319,14.631,9907
"14360188-2527390 ",,,3987.0,0.937,0.62,"DWARF   ",20.662,19.478,15.514,9908
"14360271-2527349 ",,,5566.0,0.822,0.98,"DWARF   ",16.334,15.844,13.645,9909
"14361308-2527258 ",,,3967.0,0.709,0.62,"DWARF   ",20.546,19.457,15.096,9910
"14355836-2527256 ",,,,,,,19.099,20.49,15.023,9911
"14362729-2527154 ",,,6046.0,1.294,1.12,"DWARF   ",16.494,16.22,14.118,9912
"14361330-2526552 ",,,5476.0,0.602,0.96,"DWARF   ",18.362,18.16,15.728,9913
"14360849-2526542 ",,,5894.0,0.94,1.07,"DWARF   ",17.934,17.031,15.238,9914
"14360939-2526497 ",,,5132.0,0.794,0.87,"DWARF   ",17.795,16.954,14.534,9915
"14355684-2526487 ",,,5106.0,3.971,,"GIANT   ",15.806,15.104,12.61,9916
"14360276-2526484 ",,,5517.0,1.945,0.97,"DWARF   ",16.056,15.62,13.285,9917
"14362429-2526474 ",,,5972.0,1.016,1.1,"DWARF   ",17.124,16.534,14.95,9918
"14360445-2526431 ",,,5193.0,1.294,0.88,"DWARF   ",17.923,17.425,15.293,9919
"14362202-2526413 ",,,5104.0,8.469,,"GIANT   ",15.149,14.431,11.908,9920
"14362006-2526413 ",,,3702.0,1.295,0.55,"DWARF   ",21.166,20.387,15.494,9921
"14362678-2526385 ",,,6096.0,1.156,1.14,"DWARF   ",17.059,17.051,15.396,9922
"14361888-2526316 ",,,4732.0,0.776,0.76,"DWARF   ",18.279,17.585,14.925,9923
"14362316-2526254 ",,,4442.0,0.805,0.7,"DWARF   ",18.776,17.949,14.968,9925
"14361273-2526197 ",,,,,,,16.815,19.255,15.422,9926
"14361943-2526132 ",,,5564.0,1.845,0.98,"DWARF   ",17.965,17.579,16.131,9927
"14362763-2526086 ",,,5847.0,0.882,1.06,"DWARF   ",18.113,17.997,16.808,9928
"14361443-2526021 ",,,5493.0,1.481,0.96,"DWARF   ",18.134,17.431,15.47,9929
"14361066-2526009 ",,,5743.0,1.029,1.03,"DWARF   ",17.178,16.515,14.954,9930
"14361609-2525569 ",,,5586.0,0.646,0.99,"DWARF   ",18.195,17.822,15.486,9931
"14362452-2525506 ",,,5279.0,1.097,0.91,"DWARF   ",19.085,18.535,15.797,9932
"14360584-2525430 ",,,4908.0,0.7,0.8,"DWARF   ",18.781,18.034,15.131,9933
"14362291-2525413 ",,,5647.0,0.852,1.0,"DWARF   ",17.044,16.401,14.443,9934
"14362413-2525398 ",,,5679.0,1.01,1.01,"DWARF   ",17.077,16.577,14.818,9935
"14362118-2525274 ",,,4450.0,1.981,,"GIANT   ",19.339,18.401,15.417,9936
"14361435-2525207 ",,,5941.0,1.603,1.09,"DWARF   ",14.888,14.413,12.586,9937
"14361869-2525032 ",,,3555.0,0.353,0.338,"DWARF   ",20.428,19.368,15.002,9938
"14361254-2524593 ",,,5828.0,0.932,1.05,"DWARF   ",17.237,16.703,14.94,9939
"14360883-2524523 ",,,5890.0,0.681,1.07,"DWARF   ",17.435,16.86,15.227,9940
"14355959-2524498 ",,,5528.0,1.76,0.97,"DWARF   ",17.425,16.626,14.71,9941
"14360578-2524296 ",,,,,,,,21.313,15.755,9942
"14355868-2524122 ",,,3987.0,0.737,0.62,"DWARF   ",19.716,18.569,15.057,9943
"14360740-2523524 ",,,5376.0,0.855,0.93,"DWARF   ",17.31,16.437,14.425,9944
"14362182-2523460 ",,,5199.0,0.795,0.88,"DWARF   ",17.673,17.203,15.262,9945
"14360558-2523450 ",,,4168.0,18.503,,"GIANT   ",16.526,15.263,11.537,9946
"14355548-2523369 ",,,,,,,,20.71,15.856,9947
"14360692-2523348 ",,,5767.0,1.492,1.03,"DWARF   ",16.04,15.621,13.517,9948
"14361461-2523301 ",,,4204.0,0.622,0.66,"DWARF   ",18.769,17.604,14.479,9949
"14361312-2523091 ",,,4258.0,0.65,0.67,"DWARF   ",19.681,18.532,15.412,9950
"14355505-2523086 ",,,5792.0,0.761,1.04,"DWARF   ",18.274,17.94,16.175,9951
"14362409-2522573 ",,,3900.0,1.211,0.6,"DWARF   ",,19.45,15.256,9952
"14362537-2522509 ",,,4919.0,8.855,,"GIANT   ",15.462,14.635,11.927,9953
"14362405-2522479 ",,,6416.0,0.905,1.29,"DWARF   ",18.123,17.745,15.656,9954
"14362422-2522432 ",,,4130.0,1.041,0.65,"DWARF   ",20.116,19.018,15.216,9955
"14355744-2522370 ",,,5048.0,0.804,0.842,"DWARF   ",13.907,13.039,10.796,9957
"14362588-2522284 ",,,5942.0,,,"DWARF   ",17.954,17.587,15.923,9958
"14361250-2522068 ",,,5341.0,0.58,0.92,"DWARF   ",18.606,18.149,15.271,9959
"14362033-2522055 ",,,5151.0,0.579,0.87,"DWARF   ",18.483,18.292,16.35,9960
"14361278-2522018 ",,,4312.0,0.697,0.67,"DWARF   ",19.285,18.084,15.017,9961
"14361324-2521556 ",,,4857.0,0.79,0.79,"DWARF   ",18.33,17.413,14.957,9962
"14355640-2521536 ",,,5678.0,1.274,1.01,"DWARF   ",18.302,17.783,15.742,9963
"14361020-2521444 ",,,5401.0,0.798,0.94,"DWARF   ",18.093,17.645,15.233,9964
"14362297-2521353 ",,,5400.0,1.282,0.94,"DWARF   ",18.069,17.222,15.171,9965
"14362584-2521344 ",,,,,,,,21.134,15.884,9966
"14360101-2521308 ",,,,,,,20.377,19.983,15.1,9967
"14361205-2521226 ",,,5324.0,1.617,0.92,"DWARF   ",18.279,17.93,15.922,9968
"14360343-2521173 ",,,5305.0,2.039,0.91,"DWARF   ",16.798,16.032,14.063,9969
"14360801-2521143 ",,,,,,,,20.647,16.381,9970
"14362268-2521080 ",,,4613.0,1.158,0.73,"DWARF   ",17.951,16.958,14.199,9971
"14361489-2520573 ",,,5051.0,2.814,,"GIANT   ",17.899,17.097,14.629,9973
"14360209-2520543 ",,,3470.0,0.381,0.37,"DWARF   ",19.968,18.721,14.182,9974
"14362325-2520445 ",,,5827.0,2.252,1.05,"DWARF   ",17.347,16.542,14.781,9975
"14355745-2520279 ",,,4332.0,0.53,0.68,"DWARF   ",20.544,19.249,15.923,9976
"14355794-2520176 ",,,6015.0,1.052,1.11,"DWARF   ",17.972,17.425,15.672,9977
"14361257-2520079 ",,,5579.0,0.951,0.98,"DWARF   ",16.395,15.987,13.784,9978
"14361774-2520027 ",,,5110.0,1.478,0.86,"DWARF   ",18.708,17.886,15.888,9979
"14361167-2519477 ",,,4671.0,0.593,0.74,"DWARF   ",18.651,17.717,15.167,9980
"14361493-2519458 ",,,5170.0,1.14,0.88,"DWARF   ",16.975,16.303,15.375,9981
"14361405-2519439 ",,,5814.0,1.777,1.05,"DWARF   ",17.162,16.277,14.615,9982
"14361450-2519242 ",,,5673.0,1.201,1.01,"DWARF   ",18.039,17.004,15.267,9984
"14362101-2519093 ",,,3783.0,0.602,0.59,"DWARF   ",19.691,18.249,14.575,9985
"14360638-2518421 ",,,6806.0,1.359,1.46,"DWARF   ",15.731,15.645,14.122,9986
"14362466-2518331 ",,,5020.0,1.046,0.83,"DWARF   ",17.351,16.387,13.864,9987
"14361656-2518280 ",,,4650.0,0.885,0.74,"DWARF   ",18.418,17.707,15.435,9989
"14362441-2518247 ",,,,,,,,21.141,15.735,9990
"14360328-2518243 ",,,,,,"DWARF   ",15.493,14.936,12.955,9991
"14361051-2518234 ",,,6086.0,,,"DWARF   ",18.245,18.022,16.982,9992
"14360663-2518226 ",,,5450.0,0.698,0.95,"DWARF   ",17.132,16.422,14.406,9993
"14362374-2518188 ",,,5943.0,1.178,1.09,"DWARF   ",16.79,15.697,13.834,9994
"14360346-2518185 ",,,4740.0,0.742,0.76,"DWARF   ",,17.202,14.644,9995
"14361364-2518179 ",,,,,,"DWARF   ",16.236,15.681,13.3,9996
"14361973-2518160 ",,,5397.0,7.062,,"GIANT   ",16.441,16.04,13.524,9997
"14360553-2518106 ",,,3906.0,0.89,0.61,"DWARF   ",20.212,19.246,15.4,9998
"14361622-2518087 ",,,4967.0,3.367,,"GIANT   ",16.296,15.491,12.866,9999
"14362400-2518068 ",,,3449.0,,,"DWARF   ",,20.611,15.371,10000
"14362468-2517513 ",,,5029.0,1.074,0.84,"DWARF   ",18.625,18.283,15.745,10001
"14360567-2517476 ",,,4600.0,0.639,0.73,"DWARF   ",19.178,18.542,15.551,10003
"14355913-2517475 ",,,3694.0,0.61,0.55,"DWARF   ",21.039,19.898,15.926,10004
"14360260-2517362 ",,,6728.0,1.7,1.43,"DWARF   ",11.99,11.42,10.546,10005
"14361366-2517362 ",,,4817.0,0.537,0.78,"DWARF   ",18.282,17.637,15.069,10006
"14360205-2517058 ",,,5456.0,0.757,0.95,"DWARF   ",18.189,17.691,16.057,10007
"14361235-2516585 ",,,5235.0,0.499,0.89,"DWARF   ",18.719,18.234,16.4,10008
"14360774-2516580 ",,,5381.0,0.897,0.93,"DWARF   ",18.412,17.866,15.508,10009
"14360335-2516557 ",,,5793.0,1.257,1.04,"DWARF   ",15.306,14.779,12.84,10010
"14360836-2516550 ",,,5667.0,1.293,1.01,"DWARF   ",16.102,15.607,13.493,10011
"14361212-2516408 ",,,5864.0,1.401,1.06,"DWARF   ",15.201,14.71,12.815,10012
"14362278-2516373 ",,,3732.0,0.593,0.56,"DWARF   ",20.763,20.022,15.392,10013
"14360166-2516341 ",,,5616.0,0.78,0.99,"DWARF   ",18.162,17.911,15.144,10014
"14361248-2516290 ",,,5789.0,0.998,1.04,"DWARF   ",16.734,16.141,14.105,10015
"14362336-2516282 ",,,3968.0,0.437,0.62,"DWARF   ",20.147,19.369,15.605,10016
"14361802-2515549 ",,,4933.0,,,"DWARF   ",19.439,18.817,15.963,10017
"14362155-2515513 ",,,4836.0,0.68,0.78,"DWARF   ",18.703,18.275,15.363,10018
"14360565-2515210 ",,,5684.0,1.214,1.01,"DWARF   ",18.085,17.432,15.46,10020
"14362197-2515076 ",,,,,,,,20.481,15.63,10022
"14362669-2515010 ",,,3934.0,0.596,0.585,"DWARF   ",19.286,18.33,14.787,10023
"14361909-2514561 ",,,6008.0,0.653,1.11,"DWARF   ",17.937,17.476,15.478,10024
"14360086-2514528 ",,,3794.0,0.631,0.58,"DWARF   ",,20.099,15.498,10025
"14361623-2514511 ",,,5979.0,0.861,1.1,"DWARF   ",17.007,16.348,14.613,10026
"14361018-2514432 ",,,5250.0,0.762,0.9,"DWARF   ",18.342,17.834,15.72,10027
"14355715-2514426 ",,,4691.0,0.652,0.75,"DWARF   ",18.883,18.035,15.139,10028
"14355565-2514366 ",,,4567.0,0.76,0.72,"DWARF   ",18.629,17.415,14.434,10029
"14361891-2514311 ",,,,,,"DWARF   ",19.575,19.281,15.364,10030
"14361491-2514241 ",,,5493.0,0.635,0.96,"DWARF   ",18.093,17.54,15.414,10031
"14360686-2514217 ",,,4436.0,1.291,0.69,"DWARF   ",19.635,18.475,15.228,10032
"14360361-2514215 ",,,4634.0,25.641,,"GIANT   ",,13.353,10.364,10033
"14361677-2514214 ",,,5966.0,1.292,1.09,"DWARF   ",16.485,16.048,14.25,10034
